No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヴィランコスチューム,C,0,Technical,Support,Rapid,Support,Strike,Rapid,Support,Strike,Assault,Rapid,Strike,Support(H)
2,ヴィランコスチューム〈ヒーローライク〉,R,1,Assault,Technical,Assault,Rapid,Support,Strike,Technical,Support,Technical,Technical,Assault,Rapid(V)
3,ヴィランコスチューム〈ヒート〉,R,1,Assault,Support,Technical,Rapid,Strike,Assault,Rapid,Technical,Rapid,Rapid,Support,Strike(V)
4,ヴィランコスチューム〈コンバット〉,R,1,Assault,Support,Support,Technical,Assault,Assault,Rapid,Assault,Technical,Rapid,Rapid,Technical(H)
5,ヴィランコスチューム〈デンジャラス〉,R,1,Technical,Support,Technical,Strike,Rapid,Assault,Strike,Rapid,Assault,Strike,Technical,Assault(V)
6,バトラー,SR,2,Technical,Support,Rapid,Strike,Support(H),Strike,Assault,Rapid,Technical,Assault(V),Support,Rapid(V)
7,ヴィランコスチューム〈ファンシー〉,R,1,Support,Support,Strike,Support,Technical,Support,Assault,Strike,Rapid,Technical,Strike,Rapid(H)
8,バトラー〈ヒート〉,R,1,Support,Rapid,Support,Assault,Technical,Rapid,Technical,Strike,Support,Assault,Support,Technical(H)
9,変装服(ニット),PUR,3,Rapid,Strike,Support,Technical(V),Support(H),Support,Assault,Rapid,Rapid(V),Strike(H),Rapid,Strike(H)
10,変装服(ニット)〈ヒーローライク〉,PUR,3,Strike,Rapid,Technical,Support(H),Strike(V),Strike,Strike,Assault,Rapid(V),Rapid(H),Support,Assault(V)
11,変装服(ニット)〈ヒート〉,PUR,3,Assault,Assault,Support,Assault(H),Rapid(H),Technical,Assault,Strike,Rapid(H),Strike(H),Assault,Strike(H)
12,変装服(ニット)〈コンバット〉,PUR,3,Assault,Support,Rapid,Support(V),Strike(H),Strike,Assault,Rapid,Support(H),Support(H),Rapid,Technical(H)
13,変装服(ニット)〈ファンシー〉,PUR,3,Rapid,Support,Technical,Assault(H),Rapid(V),Technical,Rapid,Rapid,Support(H),Strike(V),Technical,Support(V)
14,変装服(ニット)〈デンジャラス〉,PUR,3,Assault,Technical,Rapid,Strike(H),Technical(V),Rapid,Technical,Strike,Assault(H),Technical(H),Strike,Technical(H)
15,バトラー〈コンバット〉,R,1,Strike,Support,Strike,Strike,Support,Technical,Assault,Strike,Assault,Rapid,Technical,Rapid(V)
16,敵<ヴィラン>連合スーツ,PUR,3,Assault,Technical,Support,Technical(H),Assault(H),Strike,Assault,Strike,Assault(H),Rapid(V),Technical,Strike(V)
17,敵<ヴィラン>連合スーツ〈ヒーローライク〉,PUR,3,Support,Technical,Strike,Support(V),Technical(H),Assault,Technical,Rapid,Technical(H),Technical(V),Rapid,Assault(H)
18,敵<ヴィラン>連合スーツ〈ヒート〉,PUR,3,Support,Rapid,Technical,Support(H),Assault(H),Rapid,Rapid,Technical,Rapid(V),Strike(H),Technical,Rapid(V)
19,敵<ヴィラン>連合スーツ〈コンバット〉,PUR,3,Support,Support,Rapid,Technical(H),Support(V),Assault,Rapid,Strike,Support(H),Assault(V),Strike,Rapid(H)
20,敵<ヴィラン>連合スーツ〈ファンシー〉,PUR,3,Assault,Technical,Assault,Rapid(H),Technical(V),Support,Strike,Strike,Support(H),Rapid(V),Rapid,Support(H)
21,敵<ヴィラン>連合スーツ〈デンジャラス〉,PUR,3,Assault,Rapid,Strike,Strike(H),Support(V),Technical,Strike,Strike,Assault(V),Strike(H),Assault,Technical(V)
22,サイバーパンク,PUR,3,Technical,Support,Rapid,Strike(H),Support(V),Rapid,Assault,Assault,Support(H),Assault(H),Assault,Assault(V)
23,サイバーパンク〈ヒーローライク〉,PUR,3,Assault,Technical,Assault,Assault(H),Assault(H),Assault,Technical,Support,Support(V),Strike(H),Strike,Strike(V)
24,サイバーパンク〈デンジャラス〉,PUR,3,Rapid,Rapid,Technical,Technical(H),Strike(V),Technical,Rapid,Rapid,Rapid(V),Strike(H),Technical,Assault(V)
25,バトラー〈ファンシー〉,R,1,Support,Support,Strike,Strike,Technical,Assault,Assault,Technical,Technical,Technical,Assault,Support(H)
26,ヴィラン・パイレーツ,PUR,3,Strike,Support,Assault,Rapid(H),Technical(V),Assault,Rapid,Technical,Strike(H),Rapid(V),Technical,Assault(H)
27,ヴィラン・パイレーツ〈ヒーローライク〉,PUR,3,Technical,Rapid,Support,Assault(H),Technical(H),Rapid,Strike,Strike,Strike(V),Support(V),Assault,Strike(V)
28,サイバーパンク〈ファンシー〉,PUR,3,Strike,Assault,Support,Technical(H),Technical(H),Rapid,Technical,Technical,Support(V),Technical(V),Support,Rapid(H)
29,スカル・ヴィラン,PUR,3,Technical,Rapid,Strike,Technical(H),Strike(H),Support,Support,Strike,Assault(V),Support(V),Strike,Technical(V)
30,スカル・ヴィラン〈ヒーローライク〉,PUR,3,Assault,Rapid,Rapid,Strike(V),Assault(V),Technical,Rapid,Support,Technical(H),Assault(H),Support,Strike(H)
31,スカル・ヴィラン〈コンバット〉,PUR,3,Strike,Support,Support,Technical(V),Strike(H),Rapid,Strike,Assault,Strike(H),Strike(V),Assault,Support(V)
32,スカル・ヴィラン〈デンジャラス〉,PUR,3,Technical,Assault,Strike,Assault(H),Support(H),Rapid,Technical,Assault,Technical(V),Strike(V),Support,Strike(H)
