No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Technical,Support,Assault,Technical,Support,Assault,Rapid,Strike,Support,Rapid,Rapid,Strike(H)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Rapid,Technical,Support,Rapid,Assault,Assault,Strike,Support,Strike,Technical,Strike,Assault(V)
3,ヒーローコスチューム〈ヒート〉,R,1,Support,Assault,Rapid,Support,Technical,Support,Strike,Assault,Support,Strike,Rapid,Support(H)
4,ヒーローコスチューム〈コンバット〉,R,1,Strike,Strike,Assault,Strike,Technical,Strike,Assault,Rapid,Technical,Strike,Assault,Technical(V)
5,ヒーローコスチューム〈デンジャラス〉,R,1,Assault,Technical,Technical,Technical,Technical,Assault,Support,Strike,Strike,Support,Technical,Assault(V)
6,私服,PUR,3,Rapid,Strike,Rapid,Technical(H),Assault(H),Support,Assault,Support,Strike(H),Support(H),Support,Strike(V)
7,私服〈ヴィランライク〉,PUR,3,Assault,Assault,Support,Rapid(H),Strike(H),Support,Rapid,Technical,Strike(V),Technical(V),Rapid,Technical(V)
8,私服〈ヒート〉,PUR,3,Strike,Strike,Strike,Support(H),Assault(V),Support,Assault,Rapid,Strike(H),Strike(H),Assault,Support(H)
9,私服〈コンバット〉,PUR,3,Support,Rapid,Assault,Technical(H),Rapid(V),Strike,Rapid,Assault,Rapid(V),Strike(H),Technical,Support(H)
10,私服〈ファンシー〉,PUR,3,Strike,Assault,Support,Technical(H),Strike(V),Assault,Assault,Technical,Strike(H),Technical(H),Support,Assault(V)
11,私服〈デンジャラス〉,PUR,3,Assault,Support,Support,Strike(V),Technical(H),Support,Support,Technical,Support(V),Rapid(H),Strike,Rapid(H)
12,ヒーローコスチューム〈ファンシー〉,R,1,Strike,Rapid,Technical,Technical,Support,Rapid,Rapid,Assault,Rapid,Assault,Support,Rapid(H)
13,シンリンカムイ風コスチューム,SR,2,Support,Strike,Rapid,Technical,Rapid(H),Support,Assault,Technical,Strike,Rapid(V),Strike,Support(H)
14,パーティー衣装,PUR,3,Support,Assault,Assault,Strike(V),Rapid(V),Technical,Support,Assault,Technical(H),Technical(H),Technical,Strike(H)
15,パーティー衣装〈ヴィランライク〉,PUR,3,Technical,Support,Technical,Strike(H),Technical(H),Rapid,Technical,Support,Assault(V),Technical(V),Support,Rapid(V)
16,シンリンカムイ風コスチューム〈デンジャラス〉,R,1,Assault,Rapid,Strike,Strike,Support,Assault,Technical,Rapid,Rapid,Strike,Rapid,Assault(H)
