No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Strike,Rapid,Technical,Strike,Assault,Rapid,Support,Technical,Strike,Rapid,Assault,Strike(H)
2,ヒーローコスチューム〈デンジャラス〉,R,1,Rapid,Assault,Rapid,Strike,Support,Assault,Assault,Strike,Technical,Assault,Support,Rapid(V)
3,ヒーローコスチュームαver.〈デンジャラス〉,R,1,Assault,Rapid,Strike,Technical,Technical,Assault,Rapid,Rapid,Rapid,Strike,Strike,Rapid(V)
4,ヒーローコスチューム〈ヒート〉,R,1,Strike,Assault,Technical,Assault,Assault,Support,Assault,Technical,Support,Strike,Strike,Technical(H)
5,ヒーローコスチューム〈コンバット〉,R,1,Rapid,Support,Support,Strike,Strike,Strike,Support,Rapid,Support,Rapid,Assault,Support(V)
6,ヒーローコスチュームαver.,SR,2,Technical,Support,Assault,Assault,Technical(H),Support,Rapid,Technical,Strike,Rapid(V),Rapid,Assault(V)
7,ヒーローコスチュームαver.〈ヴィランライク〉,R,1,Assault,Technical,Support,Assault,Technical,Technical,Support,Technical,Assault,Technical,Support,Technical(V)
8,ヒーローコスチュームαver.〈ファンシー〉,R,1,Strike,Rapid,Technical,Technical,Support,Rapid,Support,Technical,Assault,Support,Technical,Assault(H)
9,私服,PUR,3,Rapid,Strike,Technical,Rapid(H),Strike(V),Technical,Assault,Strike,Technical(H),Support(H),Support,Strike(V)
10,私服〈ヴィランライク〉,PUR,3,Support,Assault,Assault,Support(H),Strike(H),Rapid,Technical,Support,Assault(H),Assault(H),Technical,Support(H)
11,私服〈ヒート〉,PUR,3,Assault,Rapid,Strike,Support(V),Technical(V),Support,Strike,Technical,Strike(V),Strike(V),Rapid,Assault(H)
12,私服〈コンバット〉,PUR,3,Support,Support,Strike,Assault(H),Rapid(V),Assault,Rapid,Rapid,Support(H),Support(H),Support,Rapid(V)
13,私服〈ファンシー〉,PUR,3,Strike,Technical,Support,Technical(H),Technical(V),Support,Strike,Technical,Support(V),Technical(H),Strike,Assault(H)
