No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヴィランコスチューム,C,0,Strike,Support,Strike,Technical,Strike,Rapid,Support,Rapid,Technical,Assault,Rapid,Technical(V)
2,ヴィランコスチューム〈ヒーローライク〉,R,1,Rapid,Rapid,Assault,Rapid,Assault,Technical,Support,Support,Strike,Technical,Assault,Strike(V)
3,ヴィランコスチューム〈コンバット〉,R,1,Technical,Rapid,Assault,Technical,Technical,Support,Support,Rapid,Rapid,Support,Technical,Rapid(V)
4,ヴィランコスチューム〈デンジャラス〉,R,1,Strike,Support,Rapid,Strike,Technical,Rapid,Technical,Strike,Strike,Rapid,Support,Technical(V)
5,ネクタイなしシャツ,SR,2,Rapid,Strike,Rapid,Assault,Rapid(V),Strike,Strike,Assault,Assault,Support(V),Assault,Rapid(V)
6,"""個性""融合ver.",PUR,3,Rapid,Assault,Assault,Rapid(H),Technical(H),Assault,Rapid,Support,Strike(V),Strike(V),Strike,Assault(H)
7,"""個性""融合ver.〈ヒーローライク〉",PUR,3,Strike,Technical,Support,Assault(H),Strike(H),Technical,Assault,Strike,Support(H),Strike(H),Technical,Strike(V)
8,"""個性""融合ver.〈ヒート〉",PUR,3,Rapid,Support,Strike,Rapid(V),Support(H),Rapid,Rapid,Rapid,Strike(H),Technical(V),Support,Technical(V)
9,"""個性""融合ver.〈コンバット〉",PUR,3,Support,Rapid,Assault,Strike(V),Support(V),Technical,Assault,Assault,Strike(H),Assault(H),Assault,Support(H)
10,"""個性""融合ver.〈ファンシー〉",PUR,3,Strike,Assault,Strike,Technical(H),Support(H),Assault,Support,Technical,Support(H),Support(V),Strike,Rapid(H)
11,"""個性""融合ver.〈デンジャラス〉",PUR,3,Assault,Support,Technical,Strike(H),Technical(V),Technical,Strike,Strike,Technical(H),Technical(V),Rapid,Assault(H)
12,ネクタイなしシャツ〈コンバット〉,R,1,Rapid,Strike,Support,Assault,Technical,Rapid,Rapid,Assault,Technical,Rapid,Support,Strike(H)
13,ヴィランコスチューム〈ヒート〉,R,1,Strike,Rapid,Technical,Strike,Assault,Assault,Support,Assault,Assault,Assault,Rapid,Support(H)
14,ヴィランコスチューム〈ファンシー〉,R,1,Strike,Support,Support,Strike,Assault,Assault,Rapid,Rapid,Assault,Strike,Strike,Assault(H)
