No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Support,Strike,Support,Rapid,Strike,Rapid,Assault,Rapid,Technical,Rapid,Strike,Assault(V)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Technical,Support,Assault,Support,Strike,Assault,Assault,Assault,Rapid,Strike,Assault,Rapid(V)
3,ヒーローコスチューム〈コンバット〉,R,1,Technical,Assault,Strike,Rapid,Strike,Support,Rapid,Assault,Technical,Rapid,Technical,Strike(H)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Support,Support,Strike,Strike,Strike,Assault,Assault,Assault,Strike,Technical,Support,Strike(H)
5,ストライプスーツ,SR,2,Rapid,Strike,Technical,Rapid,Strike(V),Support,Strike,Technical,Rapid,Strike(H),Assault,Strike(H)
6,諦めざる心,PUR,3,Strike,Rapid,Technical,Support(H),Strike(V),Technical,Assault,Strike,Rapid(H),Strike(H),Rapid,Support(V)
7,諦めざる心〈ヴィランライク〉,PUR,3,Rapid,Strike,Rapid,Rapid(V),Support(H),Rapid,Technical,Support,Strike(H),Rapid(V),Technical,Strike(H)
8,諦めざる心〈ヒート〉,PUR,3,Support,Rapid,Assault,Rapid(H),Assault(H),Rapid,Rapid,Technical,Rapid(H),Strike(V),Assault,Support(H)
9,諦めざる心〈コンバット〉,PUR,3,Technical,Support,Technical,Strike(H),Rapid(V),Assault,Rapid,Support,Technical(H),Assault(H),Support,Rapid(V)
10,諦めざる心〈ファンシー〉,PUR,3,Rapid,Technical,Support,Strike(V),Technical(V),Support,Support,Technical,Strike(H),Technical(H),Assault,Assault(H)
11,諦めざる心〈デンジャラス〉,PUR,3,Assault,Rapid,Assault,Technical(H),Strike(V),Rapid,Assault,Rapid,Strike(V),Technical(H),Technical,Rapid(V)
12,パーティースーツ,SR,2,Rapid,Technical,Rapid,Technical,Rapid(H),Rapid,Technical,Support,Rapid,Strike(V),Support,Rapid(H)
13,パーティースーツ〈ヴィランライク〉,R,1,Technical,Assault,Support,Rapid,Strike,Strike,Assault,Assault,Assault,Rapid,Strike,Technical(H)
14,パーティースーツ〈ヒート〉,R,1,Support,Rapid,Rapid,Support,Assault,Assault,Assault,Support,Assault,Strike,Support,Assault(V)
15,パーティースーツ〈ファンシー〉,R,1,Strike,Technical,Support,Technical,Strike,Technical,Assault,Strike,Rapid,Strike,Rapid,Strike(V)
16,パーティースーツ〈デンジャラス〉,R,1,Assault,Support,Assault,Strike,Technical,Rapid,Support,Support,Strike,Technical,Technical,Support(H)
17,休日出勤,PUR,3,Assault,Rapid,Strike,Support(V),Rapid(H),Support,Rapid,Technical,Strike(H),Rapid(H),Technical,Assault(H)
18,休日出勤〈ヴィランライク〉,PUR,3,Assault,Strike,Rapid,Strike(V),Technical(H),Technical,Support,Technical,Assault(V),Technical(V),Rapid,Technical(H)
19,休日出勤〈ヒート〉,PUR,3,Support,Technical,Assault,Support(V),Assault(V),Assault,Strike,Technical,Assault(H),Rapid(V),Support,Strike(H)
20,休日出勤〈コンバット〉,PUR,3,Strike,Assault,Rapid,Technical(H),Strike(H),Technical,Support,Rapid,Support(H),Support(H),Technical,Support(V)
21,休日出勤〈ファンシー〉,PUR,3,Rapid,Rapid,Assault,Rapid(H),Assault(V),Rapid,Support,Technical,Assault(H),Rapid(V),Assault,Rapid(V)
