No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヴィランコスチューム,C,0,Assault,Technical,Rapid,Support,Strike,Strike,Technical,Assault,Strike,Assault,Strike,Support(V)
2,ヴィランコスチューム〈ヒーローライク〉,R,1,Assault,Technical,Support,Support,Support,Assault,Rapid,Technical,Support,Support,Assault,Rapid(V)
3,ヴィランコスチューム〈ヒート〉,R,1,Strike,Support,Support,Assault,Strike,Rapid,Assault,Strike,Strike,Technical,Support,Technical(V)
4,ヴィランコスチューム〈ファンシー〉,R,1,Support,Support,Assault,Strike,Rapid,Assault,Strike,Technical,Technical,Rapid,Technical,Support(H)
5,ヴィランコスチューム〈デンジャラス〉,R,1,Rapid,Assault,Strike,Rapid,Technical,Support,Strike,Assault,Technical,Technical,Strike,Technical(V)
6,ダツゴク,PUR,3,Support,Assault,Technical,Technical(H),Strike(H),Technical,Support,Technical,Support(H),Rapid(V),Assault,Strike(H)
7,ダツゴク〈ヒーローライク〉,PUR,3,Strike,Strike,Assault,Rapid(V),Rapid(V),Rapid,Technical,Support,Strike(V),Strike(H),Support,Technical(H)
8,ダツゴク〈ヒート〉,PUR,3,Assault,Strike,Technical,Technical(V),Rapid(H),Strike,Support,Rapid,Support(H),Assault(H),Strike,Rapid(V)
9,ダツゴク〈コンバット〉,PUR,3,Technical,Support,Rapid,Support(H),Support(V),Support,Rapid,Support,Technical(H),Strike(V),Technical,Assault(V)
10,ダツゴク〈ファンシー〉,PUR,3,Rapid,Support,Technical,Assault(H),Assault(V),Strike,Strike,Assault,Support(V),Assault(H),Rapid,Rapid(V)
11,ダツゴク〈デンジャラス〉,PUR,3,Technical,Technical,Rapid,Technical(V),Strike(V),Assault,Rapid,Assault,Strike(H),Strike(H),Assault,Strike(H)
12,マスクオフ,SR,2,Assault,Rapid,Support,Assault,Rapid(H),Technical,Strike,Strike,Technical,Support(V),Support,Assault(V)
13,マスクオフ〈ヒート〉,R,1,Strike,Strike,Support,Assault,Support,Strike,Strike,Assault,Rapid,Strike,Assault,Strike(H)
14,巨悪の騎士,PUR,3,Support,Assault,Strike,Support(H),Technical(H),Strike,Support,Assault,Rapid(H),Support(V),Rapid,Support(V)
15,巨悪の騎士〈ヒーローライク〉,PUR,3,Strike,Strike,Assault,Strike(V),Strike(H),Rapid,Support,Rapid,Strike(V),Rapid(H),Strike,Assault(H)
16,巨悪の騎士〈ヒート〉,PUR,3,Strike,Support,Assault,Assault(H),Assault(H),Technical,Assault,Support,Assault(H),Strike(H),Rapid,Technical(V)
17,巨悪の騎士〈コンバット〉,PUR,3,Assault,Technical,Rapid,Technical(H),Rapid(H),Rapid,Technical,Rapid,Strike(H),Rapid(H),Support,Strike(V)
18,巨悪の騎士〈ファンシー〉,PUR,3,Strike,Assault,Support,Rapid(H),Assault(V),Support,Technical,Strike,Rapid(H),Technical(V),Assault,Assault(H)
19,巨悪の騎士〈デンジャラス〉,PUR,3,Support,Strike,Technical,Strike(H),Rapid(V),Rapid,Technical,Strike,Technical(V),Technical(H),Technical,Support(H)
20,サイバーパンク,PUR,3,Assault,Strike,Assault,Rapid(H),Technical(V),Rapid,Assault,Strike,Support(H),Rapid(V),Support,Assault(H)
21,サイバーパンク〈ヒート〉,PUR,3,Rapid,Support,Support,Support(H),Technical(H),Technical,Strike,Assault,Technical(V),Strike(V),Assault,Strike(V)
22,サイバーパンク〈コンバット〉,PUR,3,Rapid,Strike,Assault,Support(V),Technical(H),Rapid,Assault,Rapid,Rapid(H),Support(H),Strike,Support(H)
23,マスクオフ〈ヒーローライク〉,R,1,Assault,Rapid,Support,Support,Support,Support,Technical,Assault,Strike,Assault,Technical,Support(H)
24,サイバーパンク〈デンジャラス〉,PUR,3,Technical,Support,Technical,Strike(V),Assault(H),Support,Rapid,Strike,Support(V),Strike(H),Assault,Technical(V)
