No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヴィランコスチューム,C,0,Rapid,Assault,Strike,Rapid,Technical,Technical,Support,Assault,Strike,Rapid,Technical,Assault(H)
2,ヴィランコスチューム〈ヒーローライク〉,R,1,Strike,Rapid,Support,Assault,Strike,Assault,Strike,Technical,Support,Technical,Strike,Rapid(V)
3,ヴィランコスチューム〈ファンシー〉,R,1,Support,Assault,Strike,Support,Technical,Assault,Strike,Assault,Support,Rapid,Support,Technical(H)
4,ヴィランコスチューム着衣ver.,PUR,3,Support,Technical,Strike,Rapid(H),Technical(V),Assault,Support,Assault,Strike(V),Technical(H),Support,Strike(H)
5,ヴィランコスチューム〈デンジャラス〉,R,1,Strike,Assault,Rapid,Rapid,Support,Technical,Technical,Support,Strike,Assault,Rapid,Technical(V)
6,ヴィランコスチューム着衣ver.〈ヒーローライク〉,PUR,3,Strike,Support,Assault,Technical(H),Assault(H),Rapid,Strike,Rapid,Strike(V),Support(V),Rapid,Support(V)
7,ヴィランコスチューム着衣ver.〈ヒート〉,PUR,3,Rapid,Assault,Rapid,Support(H),Strike(V),Strike,Assault,Technical,Rapid(H),Technical(V),Assault,Rapid(H)
8,ヴィランコスチューム着衣ver.〈コンバット〉,PUR,3,Support,Strike,Assault,Rapid(V),Support(H),Rapid,Support,Strike,Technical(V),Assault(H),Strike,Support(V)
9,ヴィランコスチューム着衣ver.〈ファンシー〉,PUR,3,Assault,Rapid,Strike,Support(V),Technical(V),Technical,Assault,Strike,Assault(H),Support(H),Technical,Technical(V)
10,ヴィランコスチューム着衣ver.〈デンジャラス〉,PUR,3,Rapid,Strike,Technical,Assault(H),Support(H),Support,Technical,Assault,Strike(V),Rapid(V),Support,Assault(H)
11,ヴィランコスチューム巻き戻しver.,PUR,3,Assault,Support,Rapid,Technical(H),Rapid(V),Strike,Assault,Strike,Support(H),Technical(V),Strike,Technical(H)
12,ヴィランコスチューム巻き戻しver.〈ヒーローライク〉,PUR,3,Technical,Rapid,Strike,Assault(H),Strike(H),Strike,Support,Assault,Support(V),Technical(V),Rapid,Strike(V)
13,ヴィランコスチューム巻き戻しver.〈ヒート〉,PUR,3,Rapid,Assault,Support,Strike(V),Technical(V),Assault,Strike,Assault,Rapid(H),Support(H),Support,Rapid(V)
14,ヴィランコスチューム巻き戻しver.〈コンバット〉,PUR,3,Support,Rapid,Strike,Rapid(H),Support(H),Technical,Assault,Strike,Technical(V),Rapid(V),Technical,Strike(H)
15,ヴィランコスチューム巻き戻しver.〈ファンシー〉,PUR,3,Strike,Support,Assault,Support(H),Rapid(V),Support,Technical,Strike,Assault(H),Technical(V),Assault,Support(V)
16,ヴィランコスチューム巻き戻しver.〈デンジャラス〉,PUR,3,Technical,Support,Strike,Rapid(V),Technical(H),Assault,Rapid,Technical,Strike(H),Technical(V),Rapid,Assault(H)
