No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Support,Rapid,Rapid,Strike,Technical,Technical,Rapid,Assault,Assault,Support,Support,Strike(V)
2,ヒーローコスチューム〈ヒート〉,R,1,Rapid,Assault,Strike,Support,Technical,Assault,Rapid,Assault,Assault,Strike,Strike,Rapid(V)
3,ヒーローコスチューム〈コンバット〉,R,1,Strike,Technical,Strike,Technical,Rapid,Rapid,Support,Assault,Strike,Assault,Technical,Support(H)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Assault,Support,Rapid,Support,Strike,Support,Technical,Support,Rapid,Assault,Assault,Technical(H)
5,オフスタイル,PUR,3,Technical,Strike,Assault,Rapid(V),Support(V),Rapid,Support,Strike,Assault(H),Technical(H),Strike,Technical(V)
6,オフスタイル〈ヴィランライク〉,PUR,3,Rapid,Support,Rapid,Support(H),Strike(H),Strike,Support,Rapid,Strike(V),Technical(V),Rapid,Assault(V)
7,オフスタイル〈ヒート〉,PUR,3,Assault,Technical,Assault,Strike(H),Support(V),Assault,Rapid,Strike,Technical(V),Rapid(H),Technical,Technical(H)
8,オフスタイル〈コンバット〉,PUR,3,Rapid,Technical,Strike,Technical(H),Assault(H),Support,Support,Assault,Strike(V),Rapid(V),Support,Support(V)
9,オフスタイル〈ファンシー〉,PUR,3,Technical,Assault,Support,Strike(V),Technical(H),Technical,Rapid,Support,Assault(H),Rapid(V),Assault,Strike(H)
10,オフスタイル〈デンジャラス〉,PUR,3,Strike,Support,Rapid,Support(V),Strike(H),Assault,Strike,Assault,Technical(H),Support(V),Rapid,Rapid(H)
11,トランプ・クイーン,PUR,3,Strike,Rapid,Assault,Rapid(H),Strike(V),Support,Technical,Strike,Assault(H),Technical(V),Rapid,Technical(H)
12,トランプ・クイーン〈トワイライト〉,PUR,3,Technical,Rapid,Rapid,Strike(H),Assault(V),Assault,Rapid,Strike,Rapid(V),Technical(H),Strike,Strike(V)
13,トランプ・クイーン〈バーニング〉,PUR,3,Support,Strike,Assault,Support(H),Strike(V),Rapid,Support,Strike,Technical(V),Assault(H),Assault,Support(H)
14,トランプ・クイーン〈レモングラス〉,PUR,3,Rapid,Support,Strike,Technical(V),Assault(H),Support,Technical,Assault,Technical(H),Assault(V),Technical,Assault(V)
15,トランプ・クイーン〈マリン〉,PUR,3,Rapid,Technical,Strike,Rapid(H),Assault(V),Strike,Assault,Support,Support(H),Technical(V),Support,Rapid(V)
16,トランプ・クイーン〈ホライゾン〉,PUR,3,Assault,Rapid,Technical,Strike(H),Rapid(V),Support,Assault,Rapid,Assault(H),Strike(V),Technical,Strike(H)
