No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Rapid,Technical,Rapid,Technical,Support,Assault,Assault,Strike,Rapid,Strike,Technical,Strike(V)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Rapid,Rapid,Assault,Strike,Rapid,Rapid,Technical,Support,Strike,Rapid,Technical,Support(V)
3,ヒーローコスチューム〈コンバット〉,R,1,Support,Technical,Support,Rapid,Assault,Assault,Rapid,Support,Technical,Assault,Support,Assault(V)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Assault,Technical,Support,Rapid,Technical,Technical,Strike,Technical,Strike,Rapid,Assault,Technical(V)
5,しがみつく校長,SR,2,Strike,Rapid,Strike,Support,Assault(H),Technical,Strike,Assault,Rapid(H),Strike,Strike,Technical(H)
6,しがみつく校長〈デンジャラス〉,R,1,Rapid,Assault,Technical,Strike,Technical,Technical,Strike,Rapid,Technical,Rapid,Technical,Strike(V)
7,しがみつく校長〈ヒート〉,R,1,Strike,Rapid,Support,Assault,Rapid,Assault,Rapid,Technical,Rapid,Rapid,Rapid,Strike(H)
8,ヒーローコスチューム〈ヒート〉,R,1,Support,Strike,Rapid,Strike,Assault,Assault,Rapid,Strike,Strike,Strike,Strike,Rapid(H)
9,ヒーローコスチューム〈ファンシー〉,R,1,Technical,Support,Rapid,Technical,Strike,Support,Strike,Strike,Support,Technical,Rapid,Support(H)
10,休日出勤,PUR,3,Technical,Strike,Support,Assault(V),Strike(V),Rapid,Strike,Assault,Technical(H),Rapid(V),Assault,Rapid(H)
11,休日出勤〈ヴィランライク〉,PUR,3,Assault,Technical,Assault,Rapid(H),Support(H),Assault,Assault,Assault,Rapid(V),Strike(H),Support,Strike(V)
12,休日出勤〈ヒート〉,PUR,3,Rapid,Strike,Rapid,Support(H),Rapid(V),Strike,Rapid,Rapid,Support(V),Assault(H),Technical,Assault(H)
13,休日出勤〈コンバット〉,PUR,3,Assault,Technical,Strike,Support(H),Strike(H),Support,Rapid,Strike,Technical(H),Support(V),Strike,Support(H)
14,休日出勤〈ファンシー〉,PUR,3,Assault,Support,Rapid,Assault(H),Technical(V),Strike,Rapid,Support,Technical(H),Strike(H),Assault,Rapid(V)
15,休日出勤〈デンジャラス〉,PUR,3,Support,Rapid,Technical,Technical(V),Rapid(H),Assault,Support,Assault,Technical(H),Technical(H),Rapid,Technical(H)
16,しがみつく校長〈ファンシー〉,R,1,Support,Strike,Strike,Strike,Technical,Support,Strike,Strike,Rapid,Technical,Strike,Assault(V)
17,しがみつく校長〈コンバット〉,R,1,Rapid,Support,Technical,Strike,Assault,Assault,Rapid,Support,Technical,Support,Support,Rapid(V)
18,パーティー衣装,PUR,3,Support,Strike,Assault,Support(H),Rapid(V),Assault,Technical,Support,Technical(H),Support(V),Rapid,Technical(V)
19,パーティー衣装〈ヴィランライク〉,PUR,3,Strike,Assault,Support,Technical(V),Assault(H),Rapid,Assault,Assault,Support(H),Rapid(V),Assault,Strike(H)
20,パーティー衣装〈ヒート〉,PUR,3,Assault,Technical,Strike,Assault(H),Technical(V),Support,Rapid,Rapid,Technical(V),Technical(H),Strike,Rapid(V)
21,パーティー衣装〈ファンシー〉,PUR,3,Technical,Assault,Assault,Strike(H),Rapid(V),Support,Rapid,Rapid,Strike(V),Rapid(H),Technical,Support(H)
22,パーティー衣装〈コンバット〉,PUR,3,Support,Strike,Rapid,Strike(V),Assault(H),Technical,Strike,Support,Strike(H),Support(V),Support,Assault(H)
23,パーティー衣装〈デンジャラス〉,PUR,3,Assault,Technical,Strike,Technical(H),Strike(V),Rapid,Technical,Support,Strike(H),Support(V),Strike,Strike(V)
24,しがみつく校長〈ヴィランライク〉,R,1,Assault,Assault,Assault,Rapid,Strike,Assault,Technical,Assault,Strike,Rapid,Assault,Support(H)
25,"""個性""アシストギア",PUR,3,Rapid,Support,Rapid,Strike(V),Technical(H),Assault,Rapid,Assault,Support(V),Technical(H),Technical,Rapid(H)
26,"""個性""アシストギア〈ヴィランライク〉",PUR,3,Strike,Technical,Assault,Support(V),Strike(V),Rapid,Strike,Support,Assault(H),Rapid(H),Support,Technical(H)
27,"""個性""アシストギア〈ヒート〉",PUR,3,Assault,Rapid,Technical,Strike(H),Assault(H),Support,Assault,Strike,Support(V),Technical(V),Strike,Support(V)
28,"""個性""アシストギア〈コンバット〉",PUR,3,Support,Rapid,Technical,Support(V),Assault(V),Assault,Strike,Rapid,Support(H),Rapid(H),Assault,Strike(V)
29,"""個性""アシストギア〈ファンシー〉",PUR,3,Technical,Strike,Technical,Rapid(H),Assault(H),Technical,Support,Technical,Strike(V),Rapid(V),Rapid,Assault(V)
30,"""個性""アシストギア〈デンジャラス〉",PUR,3,Assault,Support,Strike,Assault(V),Rapid(V),Rapid,Technical,Strike,Technical(H),Support(H),Technical,Strike(H)
