No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヴィランコスチューム,C,0,Support,Rapid,Support,Rapid,Assault,Technical,Strike,Strike,Assault,Technical,Technical,Assault(H)
2,ヴィランコスチューム〈ヒーローライク〉,R,1,Technical,Support,Rapid,Technical,Technical,Assault,Technical,Strike,Support,Assault,Strike,Technical(H)
3,ヴィランコスチューム〈ヒート〉,R,1,Technical,Assault,Assault,Support,Assault,Strike,Support,Technical,Assault,Strike,Assault,Rapid(H)
4,ヴィランコスチューム〈コンバット〉,R,1,Assault,Technical,Support,Support,Strike,Rapid,Assault,Support,Strike,Support,Technical,Support(H)
5,ヴィランコスチューム〈ファンシー〉,R,1,Assault,Support,Strike,Strike,Strike,Support,Assault,Technical,Strike,Technical,Rapid,Technical(V)
6,ヴィランコスチュームハンカチver.〈ファンシー〉,R,1,Strike,Support,Rapid,Strike,Rapid,Strike,Assault,Support,Technical,Strike,Technical,Strike(H)
7,紙袋変装服,PUR,3,Support,Strike,Technical,Assault(H),Technical(H),Support,Strike,Assault,Technical(H),Technical(V),Support,Assault(H)
8,紙袋変装服〈ヒーローライク〉,PUR,3,Support,Assault,Strike,Rapid(H),Technical(V),Rapid,Assault,Support,Technical(H),Strike(H),Assault,Rapid(V)
9,紙袋変装服〈ヒート〉,PUR,3,Strike,Strike,Assault,Strike(H),Strike(H),Support,Rapid,Technical,Strike(H),Assault(H),Technical,Technical(V)
10,紙袋変装服〈コンバット〉,PUR,3,Technical,Rapid,Rapid,Assault(H),Rapid(H),Strike,Support,Rapid,Technical(H),Rapid(H),Rapid,Strike(H)
11,紙袋変装服〈ファンシー〉,PUR,3,Support,Technical,Strike,Support(V),Assault(H),Support,Technical,Assault,Support(H),Technical(H),Support,Rapid(V)
12,紙袋変装服〈デンジャラス〉,PUR,3,Assault,Assault,Strike,Assault(H),Rapid(V),Assault,Rapid,Assault,Technical(V),Support(H),Strike,Strike(H)
13,ヴィランコスチュームハンカチver.,SR,2,Technical,Support,Technical,Rapid,Strike(H),Strike,Assault,Support,Assault,Rapid(V),Assault,Support(H)
14,敵<ヴィラン>連合スーツ,PUR,3,Technical,Support,Rapid,Strike(H),Rapid(V),Support,Support,Strike,Assault(H),Technical(V),Strike,Support(V)
15,敵<ヴィラン>連合スーツ〈ヒーローライク〉,PUR,3,Rapid,Technical,Support,Rapid(H),Strike(H),Rapid,Assault,Assault,Assault(V),Assault(H),Rapid,Assault(H)
16,敵<ヴィラン>連合スーツ〈ヒート〉,PUR,3,Strike,Rapid,Rapid,Support(H),Assault(H),Assault,Rapid,Rapid,Rapid(H),Technical(V),Strike,Rapid(H)
17,敵<ヴィラン>連合スーツ〈コンバット〉,PUR,3,Support,Technical,Assault,Technical(H),Technical(V),Support,Technical,Strike,Support(H),Rapid(H),Technical,Rapid(H)
18,敵<ヴィラン>連合スーツ〈ファンシー〉,PUR,3,Strike,Strike,Support,Technical(V),Assault(H),Strike,Assault,Strike,Technical(H),Strike(H),Assault,Strike(V)
19,敵<ヴィラン>連合スーツ〈デンジャラス〉,PUR,3,Assault,Rapid,Assault,Support(H),Support(H),Rapid,Technical,Strike,Support(V),Support(H),Support,Technical(V)
20,ヴィランコスチュームハンカチver.〈ヒーローライク〉,R,1,Strike,Rapid,Rapid,Rapid,Strike,Assault,Rapid,Technical,Support,Support,Support,Rapid(V)
21,ヴィランコスチュームハンカチver.〈デンジャラス〉,R,1,Assault,Technical,Support,Rapid,Technical,Rapid,Rapid,Technical,Technical,Strike,Rapid,Support(V)
22,サイバーパンク,PUR,3,Support,Rapid,Assault,Rapid(H),Support(H),Rapid,Technical,Strike,Technical(V),Rapid(V),Rapid,Strike(H)
23,ヴィランコスチュームハンカチver.〈ヒート〉,R,1,Support,Technical,Rapid,Technical,Assault,Assault,Assault,Strike,Assault,Technical,Strike,Assault(H)
24,ヴィラン・パイレーツ,PUR,3,Assault,Assault,Strike,Support(H),Technical(V),Strike,Technical,Support,Rapid(V),Technical(H),Strike,Support(H)
25,ヴィラン・パイレーツ〈ファンシー〉,PUR,3,Rapid,Assault,Technical,Strike(V),Technical(V),Strike,Assault,Assault,Support(H),Rapid(H),Assault,Assault(H)
26,サイバーパンク〈ヒート〉,PUR,3,Technical,Rapid,Technical,Rapid(V),Assault(H),Assault,Technical,Support,Technical(H),Strike(H),Assault,Technical(H)
