No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヴィランコスチューム,C,0,Support,Assault,Support,Strike,Rapid,Technical,Assault,Strike,Support,Technical,Strike,Rapid(V)
2,ヴィランコスチューム〈ヒーローライク〉,R,1,Strike,Rapid,Support,Rapid,Rapid,Strike,Strike,Assault,Strike,Strike,Assault,Support(V)
3,ヴィランコスチューム〈ヒート〉,R,1,Assault,Strike,Technical,Rapid,Assault,Strike,Support,Assault,Assault,Assault,Technical,Strike(H)
4,ヴィランコスチューム〈コンバット〉,R,1,Support,Technical,Support,Strike,Assault,Assault,Technical,Rapid,Technical,Rapid,Rapid,Technical(V)
5,ヴィランコスチューム〈デンジャラス〉,R,1,Technical,Rapid,Technical,Rapid,Technical,Support,Strike,Technical,Strike,Rapid,Strike,Assault(V)
6,変装服（ケミィ）,SR,2,Technical,Rapid,Assault,Technical,Technical(V),Assault,Support,Rapid,Support,Support(H),Technical,Rapid(H)
7,変装服（ケミィ）〈ヒーローライク〉,R,1,Strike,Support,Support,Strike,Strike,Rapid,Rapid,Technical,Assault,Strike,Rapid,Assault(H)
8,変装服（ケミィ）〈ファンシー〉,R,1,Support,Rapid,Strike,Rapid,Technical,Rapid,Technical,Assault,Rapid,Assault,Strike,Support(V)
9,変装服（ケミィ）〈デンジャラス〉,R,1,Technical,Support,Technical,Assault,Rapid,Assault,Assault,Strike,Strike,Assault,Support,Technical(V)
10,変装服（セミナースーツ）,PUR,3,Assault,Rapid,Technical,Strike(H),Technical(H),Support,Rapid,Assault,Technical(H),Technical(V),Assault,Strike(H)
11,変装服（セミナースーツ）〈ヒーローライク〉,PUR,3,Technical,Assault,Strike,Rapid(V),Strike(V),Strike,Strike,Support,Technical(H),Support(H),Strike,Assault(V)
12,変装服（セミナースーツ）〈ヒート〉,PUR,3,Strike,Assault,Support,Technical(H),Support(H),Support,Strike,Support,Assault(H),Technical(H),Assault,Support(V)
13,変装服（セミナースーツ）〈コンバット〉,PUR,3,Rapid,Strike,Support,Assault(H),Technical(H),Assault,Support,Technical,Assault(H),Assault(V),Support,Rapid(H)
14,変装服（セミナースーツ）〈ファンシー〉,PUR,3,Support,Support,Rapid,Strike(V),Rapid(H),Rapid,Assault,Strike,Rapid(H),Support(H),Rapid,Technical(H)
15,変装服（セミナースーツ）〈デンジャラス〉,PUR,3,Rapid,Assault,Assault,Strike(V),Rapid(V),Support,Technical,Strike,Support(V),Technical(V),Technical,Support(H)
16,変装服（ケミィ）〈ヒート〉,R,1,Assault,Support,Technical,Rapid,Strike,Support,Technical,Technical,Support,Technical,Technical,Support(H)
17,変装服（ケミィ）〈コンバット〉,R,1,Assault,Support,Support,Technical,Assault,Support,Support,Rapid,Assault,Strike,Assault,Strike(H)
18,ヴィランコスチューム〈ファンシー〉,R,1,Support,Strike,Strike,Technical,Support,Strike,Assault,Support,Rapid,Assault,Support,Rapid(H)
19,制服(ボロボロ),PUR,3,Technical,Strike,Assault,Technical(H),Rapid(V),Strike,Support,Support,Assault(V),Strike(H),Strike,Support(H)
20,制服(ボロボロ)〈ヒーローライク〉,PUR,3,Strike,Assault,Assault,Rapid(H),Assault(H),Technical,Assault,Assault,Rapid(H),Rapid(V),Support,Technical(H)
21,制服(ボロボロ)〈ヒート〉,PUR,3,Assault,Technical,Strike,Technical(H),Technical(H),Support,Technical,Strike,Support(V),Technical(V),Rapid,Assault(V)
22,制服(ボロボロ)〈コンバット〉,PUR,3,Support,Support,Support,Assault(V),Rapid(H),Strike,Support,Strike,Support(V),Strike(H),Assault,Rapid(V)
23,制服(ボロボロ)〈ファンシー〉,PUR,3,Strike,Technical,Support,Rapid(H),Rapid(V),Rapid,Rapid,Assault,Rapid(H),Assault(H),Strike,Strike(V)
24,制服(ボロボロ)〈デンジャラス〉,PUR,3,Rapid,Technical,Rapid,Technical(H),Support(V),Strike,Strike,Strike,Strike(H),Strike(H),Technical,Strike(V)
25,サイバーパンク,PUR,3,Rapid,Technical,Assault,Strike(H),Support(V),Support,Strike,Rapid,Support(H),Assault(H),Rapid,Strike(H)
26,サイバーパンク〈ヒーローライク〉,PUR,3,Support,Support,Rapid,Rapid(V),Strike(H),Rapid,Rapid,Technical,Assault(H),Assault(V),Technical,Assault(H)
27,サイバーパンク〈ヒート〉,PUR,3,Strike,Rapid,Strike,Support(V),Assault(H),Support,Assault,Strike,Strike(H),Strike(V),Strike,Rapid(V)
28,サイバーパンク〈コンバット〉,PUR,3,Support,Strike,Assault,Support(H),Technical(V),Assault,Assault,Assault,Assault(H),Rapid(H),Rapid,Support(H)
29,サイバーパンク〈ファンシー〉,PUR,3,Rapid,Assault,Support,Rapid(V),Support(H),Support,Rapid,Technical,Support(V),Rapid(H),Support,Strike(H)
30,サイバーパンク〈デンジャラス〉,PUR,3,Assault,Support,Technical,Support(H),Technical(H),Strike,Strike,Technical,Assault(H),Technical(V),Assault,Technical(V)
31,変装服（ダッフルコート）,PUR,3,Technical,Rapid,Rapid,Support(H),Support(V),Strike,Technical,Rapid,Support(H),Technical(H),Rapid,Assault(H)
32,変装服（ダッフルコート）〈ヒーローライク〉,PUR,3,Strike,Technical,Strike,Assault(H),Support(V),Assault,Rapid,Technical,Support(H),Strike(V),Support,Rapid(V)
33,変装服（ダッフルコート）〈ヒート〉,PUR,3,Rapid,Assault,Technical,Strike(H),Technical(H),Rapid,Support,Support,Support(V),Strike(V),Strike,Technical(H)
34,変装服（ダッフルコート）〈コンバット〉,PUR,3,Assault,Support,Technical,Technical(V),Strike(V),Rapid,Technical,Rapid,Assault(H),Strike(H),Assault,Support(V)
35,変装服（ダッフルコート）〈ファンシー〉,PUR,3,Strike,Assault,Support,Rapid(V),Technical(H),Assault,Technical,Assault,Rapid(H),Technical(H),Technical,Strike(V)
36,変装服（ダッフルコート）〈デンジャラス〉,PUR,3,Assault,Support,Technical,Support(V),Strike(V),Technical,Assault,Assault,Support(H),Strike(H),Assault,Rapid(H)
37,闇夜の暗殺者,PUR,3,Strike,Rapid,Rapid,Strike(V),Technical(V),Support,Technical,Support,Rapid(H),Technical(V),Strike,Assault(H)
38,闇夜の暗殺者〈ヒーローライク〉,PUR,3,Support,Assault,Strike,Technical(H),Strike(H),Assault,Rapid,Rapid,Technical(V),Support(H),Assault,Technical(H)
39,闇夜の暗殺者〈ファンシー〉,PUR,3,Technical,Assault,Strike,Support(H),Support(V),Assault,Rapid,Rapid,Rapid(H),Strike(H),Technical,Rapid(V)
40,ヴィラン・パイレーツ,PUR,3,Rapid,Assault,Strike,Support(H),Technical(H),Strike,Assault,Technical,Technical(V),Support(V),Strike,Rapid(H)
41,ヴィラン・パイレーツ〈ヒーローライク〉,PUR,3,Strike,Support,Strike,Technical(V),Rapid(V),Rapid,Strike,Assault,Strike(H),Support(H),Assault,Assault(H)
42,ヴィラン・パイレーツ〈ヒート〉,PUR,3,Assault,Rapid,Strike,Assault(H),Support(V),Support,Rapid,Strike,Technical(V),Rapid(H),Rapid,Strike(V)
43,ヴィラン・パイレーツ〈コンバット〉,PUR,3,Technical,Strike,Technical,Rapid(V),Support(V),Strike,Assault,Assault,Support(H),Technical(H),Support,Support(H)
44,ヴィラン・パイレーツ〈ファンシー〉,PUR,3,Support,Rapid,Support,Strike(V),Assault(H),Assault,Strike,Support,Technical(H),Technical(V),Technical,Support(V)
45,ヴィラン・パイレーツ〈デンジャラス〉,PUR,3,Rapid,Assault,Assault,Support(V),Strike(H),Assault,Support,Technical,Rapid(H),Strike(V),Assault,Technical(V)
46,闇夜の暗殺者〈ヒート〉,PUR,3,Assault,Support,Assault,Support(V),Rapid(H),Technical,Strike,Strike,Technical(H),Strike(H),Rapid,Support(V)
