No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Technical,Support,Assault,Rapid,Technical,Strike,Strike,Rapid,Support,Assault,Support,Strike(H)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Rapid,Technical,Support,Assault,Technical,Assault,Strike,Assault,Assault,Strike,Rapid,Assault(H)
3,ヒーローコスチューム〈ヒート〉,R,1,Support,Assault,Rapid,Support,Technical,Strike,Technical,Technical,Technical,Support,Technical,Rapid(H)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Assault,Support,Strike,Technical,Technical,Assault,Support,Support,Support,Strike,Support,Assault(V)
5,喧騒の武将,PUR,3,Assault,Rapid,Rapid,Strike(H),Support(H),Strike,Assault,Support,Technical(H),Rapid(V),Assault,Strike(H)
6,喧騒の武将〈ヴィランライク〉,PUR,3,Assault,Support,Assault,Support(V),Rapid(V),Technical,Technical,Rapid,Strike(V),Strike(H),Rapid,Rapid(V)
7,喧騒の武将〈ヒート〉,PUR,3,Technical,Strike,Support,Rapid(H),Technical(V),Strike,Rapid,Assault,Support(H),Technical(H),Technical,Strike(V)
8,喧騒の武将〈コンバット〉,PUR,3,Strike,Support,Technical,Rapid(V),Technical(H),Rapid,Rapid,Rapid,Strike(H),Assault(H),Support,Technical(H)
9,喧騒の武将〈ファンシー〉,PUR,3,Support,Technical,Strike,Assault(V),Support(H),Assault,Assault,Strike,Technical(H),Rapid(V),Rapid,Support(H)
10,喧騒の武将〈デンジャラス〉,PUR,3,Support,Assault,Rapid,Rapid(H),Technical(V),Technical,Strike,Support,Support(H),Strike(H),Assault,Assault(H)
11,ヒーローコスチューム〈コンバット〉,R,1,Strike,Strike,Assault,Strike,Assault,Support,Technical,Support,Strike,Strike,Strike,Support(V)
12,パーティー衣装,PUR,3,Assault,Strike,Rapid,Rapid(V),Technical(V),Support,Rapid,Strike,Assault(H),Strike(H),Support,Rapid(V)
13,パーティー衣装〈ヴィランライク〉,PUR,3,Support,Technical,Strike,Rapid(H),Strike(H),Assault,Assault,Support,Rapid(V),Technical(V),Strike,Technical(H)
14,パーティー衣装〈ヒート〉,PUR,3,Technical,Technical,Rapid,Strike(V),Rapid(H),Assault,Rapid,Strike,Support(H),Support(V),Assault,Support(V)
15,パーティー衣装〈コンバット〉,PUR,3,Support,Rapid,Support,Support(H),Rapid(H),Support,Assault,Strike,Rapid(V),Technical(V),Technical,Assault(H)
16,パーティー衣装〈ファンシー〉,PUR,3,Assault,Support,Assault,Rapid(V),Technical(H),Assault,Technical,Assault,Technical(H),Strike(H),Rapid,Strike(V)
17,パーティー衣装〈デンジャラス〉,PUR,3,Strike,Technical,Strike,Rapid(H),Support(V),Rapid,Technical,Strike,Assault(H),Support(H),Technical,Technical(V)
18,ヒーローコスチューム〈ファンシー〉,R,1,Rapid,Rapid,Technical,Technical,Support,Rapid,Rapid,Technical,Rapid,Assault,Assault,Technical(V)
13,"""個性""アシストギア",PUR,3,Strike,Assault,Support,Assault(V),Technical(V),Rapid,Rapid,Assault,Strike(V),Assault(H),Support,Technical(V)
14,"""個性""アシストギア〈ヴィランライク〉",PUR,3,Rapid,Support,Technical,Strike(H),Assault(H),Strike,Assault,Technical,Strike(V),Support(H),Strike,Rapid(H)
15,"""個性""アシストギア〈ヒート〉",PUR,3,Rapid,Rapid,Strike,Support(V),Technical(V),Technical,Assault,Technical,Support(V),Technical(H),Assault,Support(H)
16,"""個性""アシストギア〈コンバット〉",PUR,3,Strike,Strike,Strike,Assault(H),Rapid(V),Assault,Technical,Technical,Strike(V),Rapid(H),Technical,Assault(V)
17,"""個性""アシストギア〈ファンシー〉",PUR,3,Support,Assault,Technical,Support(H),Support(V),Strike,Support,Technical,Strike(H),Support(V),Rapid,Strike(H)
18,"""個性""アシストギア〈デンジャラス〉",PUR,3,Assault,Support,Rapid,Strike(H),Rapid(H),Rapid,Technical,Rapid,Support(V),Strike(V),Technical,Rapid(V)
