No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Strike,Rapid,Strike,Rapid,Strike,Assault,Rapid,Technical,Technical,Support,Technical,Support(H)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Assault,Assault,Strike,Rapid,Strike,Assault,Strike,Technical,Assault,Technical,Assault,Technical(V)
3,ヒーローコスチューム〈ヒート〉,R,1,Strike,Assault,Support,Assault,Strike,Strike,Strike,Rapid,Support,Strike,Support,Strike(H)
4,ヒーローコスチューム〈コンバット〉,R,1,Rapid,Support,Support,Strike,Support,Technical,Support,Support,Rapid,Strike,Technical,Rapid(V)
5,オフスタイル,SR,2,Rapid,Strike,Rapid,Technical,Rapid(V),Support,Assault,Technical,Strike,Rapid(H),Rapid,Assault(H)
6,オフスタイル〈ヒート〉,R,1,Strike,Rapid,Assault,Support,Assault,Assault,Strike,Support,Assault,Rapid,Assault,Strike(V)
7,異世界装束,PUR,3,Rapid,Strike,Technical,Strike(H),Rapid(H),Strike,Rapid,Strike,Rapid(V),Strike(V),Rapid,Assault(V)
8,異世界装束〈ヴィランライク〉,PUR,3,Support,Assault,Assault,Support(H),Strike(V),Support,Strike,Technical,Support(H),Assault(V),Support,Assault(H)
9,異世界装束〈ヒート〉,PUR,3,Assault,Rapid,Strike,Assault(H),Assault(H),Support,Assault,Strike,Assault(H),Technical(V),Strike,Support(H)
10,異世界装束〈コンバット〉,PUR,3,Support,Rapid,Strike,Assault(H),Rapid(V),Strike,Rapid,Assault,Rapid(V),Rapid(H),Rapid,Support(V)
11,異世界装束〈ファンシー〉,PUR,3,Strike,Technical,Support,Technical(V),Rapid(H),Strike,Rapid,Strike,Strike(H),Strike(V),Assault,Support(H)
12,異世界装束〈デンジャラス〉,PUR,3,Rapid,Technical,Rapid,Technical(H),Support(H),Assault,Strike,Technical,Technical(V),Strike(H),Technical,Strike(V)
13,疾風の武将,PUR,3,Strike,Technical,Rapid,Technical(H),Support(V),Technical,Assault,Assault,Rapid(V),Strike(H),Support,Technical(H)
14,疾風の武将〈ヴィランライク〉,PUR,3,Rapid,Strike,Assault,Strike(V),Rapid(H),Rapid,Technical,Support,Technical(H),Rapid(V),Technical,Rapid(H)
15,疾風の武将〈ヒート〉,PUR,3,Support,Strike,Strike,Strike(H),Assault(H),Assault,Strike,Technical,Rapid(H),Strike(H),Rapid,Strike(V)
16,疾風の武将〈コンバット〉,PUR,3,Support,Technical,Support,Assault(H),Assault(H),Assault,Rapid,Assault,Technical(H),Assault(H),Support,Strike(H)
17,疾風の武将〈ファンシー〉,PUR,3,Technical,Support,Assault,Technical(V),Assault(H),Support,Strike,Assault,Support(H),Technical(V),Assault,Assault(V)
18,疾風の武将〈デンジャラス〉,PUR,3,Assault,Support,Rapid,Support(H),Technical(V),Technical,Support,Support,Strike(V),Support(V),Strike,Technical(H)
19,サイバーヒーローコスチューム,PUR,3,Strike,Assault,Rapid,Technical(H),Support(H),Support,Rapid,Technical,Strike(H),Assault(V),Strike,Assault(H)
