No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヴィランコスチューム,C,0,Rapid,Support,Support,Technical,Strike,Assault,Assault,Support,Rapid,Technical,Assault,Support(V)
2,ヴィランコスチューム〈ヒート〉,R,1,Strike,Assault,Rapid,Strike,Technical,Strike,Support,Rapid,Technical,Rapid,Strike,Rapid(H)
3,ヴィランコスチューム〈コンバット〉,R,1,Support,Rapid,Rapid,Support,Support,Assault,Strike,Technical,Assault,Technical,Support,Strike(V)
4,ヴィランコスチューム〈デンジャラス〉,R,1,Rapid,Assault,Strike,Strike,Support,Technical,Support,Technical,Assault,Technical,Rapid,Assault(V)
5,ヒーローコスチューム,PUR,3,Strike,Support,Strike,Rapid(V),Technical(V),Technical,Assault,Technical,Assault(H),Support(H),Support,Rapid(H)
6,ヒーローコスチューム〈ヒーローライク〉,PUR,3,Assault,Rapid,Technical,Rapid(H),Support(H),Rapid,Strike,Support,Technical(V),Strike(V),Rapid,Strike(H)
7,ヒーローコスチューム〈ヒート〉,PUR,3,Rapid,Technical,Rapid,Assault(H),Strike(H),Strike,Technical,Rapid,Strike(V),Support(V),Assault,Strike(V)
8,ヒーローコスチューム〈コンバット〉,PUR,3,Assault,Support,Assault,Technical(H),Strike(V),Rapid,Assault,Support,Support(V),Strike(H),Strike,Technical(V)
9,ヒーローコスチューム〈ファンシー〉,PUR,3,Technical,Assault,Support,Technical(H),Rapid(H),Strike,Technical,Technical,Assault(V),Strike(V),Support,Assault(H)
10,ヒーローコスチューム〈デンジャラス〉,PUR,3,Support,Assault,Assault,Strike(V),Support(H),Technical,Rapid,Rapid,Assault(H),Rapid(V),Technical,Support(V)
11,病衣,PUR,3,Assault,Rapid,Technical,Technical(H),Technical(V),Assault,Strike,Technical,Rapid(V),Strike(H),Strike,Support(H)
12,病衣〈ヒーローライク〉,PUR,3,Technical,Support,Assault,Strike(H),Rapid(V),Rapid,Assault,Technical,Assault(H),Support(V),Technical,Strike(H)
13,病衣〈ヒート〉,PUR,3,Support,Strike,Rapid,Support(H),Assault(H),Assault,Strike,Support,Technical(V),Strike(V),Rapid,Support(V)
14,病衣〈コンバット〉,PUR,3,Assault,Rapid,Technical,Rapid(H),Strike(H),Strike,Assault,Rapid,Support(V),Technical(V),Support,Technical(H)
15,病衣〈ファンシー〉,PUR,3,Rapid,Technical,Support,Strike(V),Support(V),Strike,Technical,Assault,Strike(H),Support(H),Assault,Rapid(V)
16,病衣〈デンジャラス〉,PUR,3,Strike,Assault,Assault,Strike(V),Rapid(V),Assault,Strike,Technical,Assault(H),Strike(H),Strike,Assault(V)
