No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Support,Assault,Technical,Strike,Rapid,Rapid,Technical,Strike,Assault,Support,Technical,Rapid(V)
2,ヒーローコスチューム〈ヒート〉,R,1,Assault,Strike,Technical,Assault,Rapid,Support,Assault,Rapid,Support,Technical,Strike,Assault(H)
3,ヒーローコスチューム〈コンバット〉,R,1,Assault,Support,Rapid,Support,Assault,Strike,Strike,Assault,Rapid,Assault,Technical,Strike(V)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Assault,Technical,Rapid,Rapid,Strike,Strike,Strike,Technical,Technical,Strike,Support,Support(V)
5,グラスオフ,SR,2,Strike,Strike,Rapid,Technical,Rapid(V),Rapid,Strike,Rapid,Technical,Rapid(H),Strike,Rapid(H)
6,グラスオフ〈ヴィランライク〉,R,1,Assault,Assault,Technical,Strike,Technical,Assault,Assault,Technical,Rapid,Strike,Assault,Assault(V)
7,グラスオフ〈ファンシー〉,R,1,Assault,Technical,Assault,Assault,Technical,Strike,Assault,Support,Technical,Strike,Support,Strike(H)
8,グラスオフ〈デンジャラス〉,R,1,Assault,Rapid,Strike,Strike,Support,Assault,Support,Assault,Strike,Strike,Strike,Rapid(H)
9,カジュアルスタイル,PUR,3,Technical,Technical,Rapid,Technical(H),Support(V),Support,Rapid,Strike,Assault(H),Rapid(H),Support,Strike(V)
10,カジュアルスタイル〈ヴィランライク〉,PUR,3,Support,Assault,Assault,Support(V),Strike(H),Assault,Assault,Assault,Rapid(H),Strike(V),Rapid,Technical(H)
11,カジュアルスタイル〈ヒート〉,PUR,3,Technical,Rapid,Strike,Strike(H),Technical(H),Strike,Assault,Support,Assault(V),Strike(V),Support,Strike(V)
12,カジュアルスタイル〈コンバット〉,PUR,3,Support,Support,Strike,Assault(H),Rapid(H),Rapid,Support,Support,Strike(H),Support(H),Technical,Assault(V)
13,カジュアルスタイル〈ファンシー〉,PUR,3,Strike,Technical,Support,Technical(H),Rapid(V),Support,Support,Strike,Strike(V),Technical(H),Strike,Support(H)
14,カジュアルスタイル〈デンジャラス〉,PUR,3,Rapid,Technical,Technical,Technical(H),Support(H),Rapid,Assault,Technical,Strike(H),Technical(V),Assault,Rapid(V)
15,カンフー装束,PUR,3,Strike,Strike,Support,Support(V),Rapid(H),Rapid,Assault,Technical,Strike(H),Rapid(V),Rapid,Support(V)
16,カンフー装束〈ヴィランライク〉,PUR,3,Assault,Strike,Technical,Strike(H),Technical(V),Technical,Rapid,Technical,Assault(H),Technical(V),Rapid,Rapid(H)
17,カンフー装束〈ヒート〉,PUR,3,Support,Rapid,Technical,Support(H),Rapid(V),Rapid,Strike,Rapid,Assault(V),Rapid(V),Strike,Technical(H)
18,カンフー装束〈コンバット〉,PUR,3,Technical,Support,Rapid,Technical(H),Technical(V),Support,Assault,Technical,Technical(V),Strike(H),Assault,Rapid(V)
19,カンフー装束〈ファンシー〉,PUR,3,Assault,Technical,Strike,Rapid(V),Assault(H),Strike,Technical,Technical,Technical(V),Support(H),Rapid,Assault(H)
20,カンフー装束〈デンジャラス〉,PUR,3,Assault,Rapid,Strike,Strike(H),Technical(V),Rapid,Technical,Rapid,Assault(V),Support(V),Assault,Support(H)
21,グラスオフ〈ヒート〉,R,1,Support,Rapid,Technical,Support,Assault,Rapid,Rapid,Rapid,Support,Assault,Rapid,Technical(V)
