No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Technical,Assault,Technical,Rapid,Strike,Technical,Support,Assault,Assault,Technical,Assault,Technical(H)
2,ヒーローコスチューム〈ヒート〉,R,1,Assault,Rapid,Technical,Strike,Strike,Support,Assault,Rapid,Support,Technical,Technical,Rapid(H)
3,ヒーローコスチューム〈コンバット〉,R,1,Assault,Rapid,Support,Technical,Assault,Strike,Assault,Assault,Strike,Strike,Support,Assault(V)
4,ヒーローコスチューム〈ファンシー〉,R,1,Support,Strike,Strike,Support,Technical,Strike,Rapid,Technical,Strike,Support,Rapid,Strike(V)
5,ヒーローコスチューム〈デンジャラス〉,R,1,Technical,Rapid,Technical,Strike,Rapid,Assault,Rapid,Strike,Technical,Technical,Assault,Technical(V)
6,私服,PUR,3,Rapid,Strike,Assault,Technical(H),Rapid(H),Rapid,Strike,Technical,Rapid(V),Strike(H),Strike,Support(H)
7,私服〈ヴィランライク〉,PUR,3,Assault,Assault,Support,Rapid(H),Support(H),Support,Assault,Assault,Support(V),Strike(V),Assault,Rapid(V)
8,私服〈ヒート〉,PUR,3,Strike,Rapid,Rapid,Support(V),Assault(V),Assault,Rapid,Strike,Assault(H),Strike(H),Support,Assault(H)
9,私服〈コンバット〉,PUR,3,Support,Rapid,Assault,Technical(V),Support(H),Support,Support,Strike,Assault(V),Rapid(H),Rapid,Strike(H)
10,私服〈ファンシー〉,PUR,3,Strike,Assault,Support,Technical(H),Strike(H),Strike,Technical,Support,Technical(H),Rapid(V),Strike,Technical(V)
11,私服〈デンジャラス〉,PUR,3,Assault,Support,Technical,Strike(V),Technical(H),Rapid,Technical,Rapid,Technical(V),Support(V),Technical,Rapid(V)
12,チャイナ風ドレス,PUR,3,Assault,Assault,Technical,Strike(H),Rapid(H),Strike,Rapid,Strike,Rapid(H),Strike(H),Support,Strike(H)
13,チャイナ風ドレス〈ヴィランライク〉,PUR,3,Technical,Support,Technical,Assault(H),Technical(V),Support,Technical,Technical,Strike(H),Rapid(V),Rapid,Rapid(V)
14,チャイナ風ドレス〈ヒート〉,PUR,3,Assault,Strike,Support,Technical(V),Rapid(V),Assault,Rapid,Support,Technical(V),Strike(H),Strike,Assault(H)
15,チャイナ風ドレス〈コンバット〉,PUR,3,Assault,Support,Rapid,Support(H),Strike(H),Assault,Assault,Support,Strike(V),Strike(V),Technical,Support(V)
16,チャイナ風ドレス〈ファンシー〉,PUR,3,Rapid,Strike,Technical,Assault(V),Strike(V),Support,Strike,Strike,Strike(V),Support(H),Assault,Assault(H)
17,チャイナ風ドレス〈デンジャラス〉,PUR,3,Assault,Technical,Rapid,Rapid(H),Strike(H),Technical,Assault,Assault,Strike(H),Assault(V),Support,Technical(V)
18,お祭り浴衣,PUR,3,Strike,Rapid,Technical,Support(V),Strike(H),Strike,Assault,Strike,Rapid(V),Strike(H),Technical,Strike(H)
19,お祭り浴衣〈ヴィランライク〉,PUR,3,Assault,Assault,Rapid,Assault(H),Strike(H),Assault,Assault,Strike,Rapid(H),Strike(H),Technical,Assault(V)
20,お祭り浴衣〈ヒート〉,PUR,3,Strike,Rapid,Technical,Assault(V),Strike(H),Support,Rapid,Support,Assault(H),Technical(H),Assault,Strike(V)
21,お祭り浴衣〈コンバット〉,PUR,3,Rapid,Support,Rapid,Strike(H),Support(H),Rapid,Support,Rapid,Strike(V),Support(V),Rapid,Technical(H)
22,お祭り浴衣〈ファンシー〉,PUR,3,Support,Support,Technical,Strike(V),Technical(V),Strike,Strike,Strike,Strike(H),Technical(H),Support,Support(H)
23,お祭り浴衣〈デンジャラス〉,PUR,3,Rapid,Strike,Assault,Strike(V),Technical(V),Strike,Assault,Strike,Strike(H),Technical(V),Strike,Rapid(H)
24,ヒーローコスチューム〈ヴィランライク〉,R,1,Rapid,Technical,Support,Strike,Rapid,Rapid,Technical,Support,Assault,Rapid,Strike,Support(H)
25,雄英夏服,SR,2,Rapid,Strike,Assault,Technical,Assault(V),Strike,Technical,Technical,Support,Technical(H),Strike,Technical(V)
26,雄英夏服〈デンジャラス〉,R,1,Assault,Support,Rapid,Assault,Technical,Strike,Rapid,Technical,Assault,Technical,Support,Technical(V)
27,異世界装束,PUR,3,Rapid,Rapid,Rapid,Technical(V),Rapid(V),Strike,Rapid,Strike,Assault(H),Support(H),Assault,Support(H)
28,異世界装束〈ヴィランライク〉,PUR,3,Support,Technical,Assault,Rapid(H),Support(H),Assault,Technical,Assault,Strike(H),Technical(V),Technical,Assault(V)
29,異世界装束〈ヒート〉,PUR,3,Strike,Support,Rapid,Support(V),Assault(H),Assault,Strike,Technical,Support(V),Strike(H),Strike,Rapid(V)
30,異世界装束〈コンバット〉,PUR,3,Support,Technical,Support,Technical(H),Strike(V),Rapid,Rapid,Rapid,Technical(V),Rapid(H),Assault,Technical(H)
31,異世界装束〈ファンシー〉,PUR,3,Strike,Strike,Rapid,Support(V),Assault(H),Support,Strike,Strike,Support(H),Technical(V),Support,Strike(H)
32,異世界装束〈デンジャラス〉,PUR,3,Assault,Rapid,Assault,Strike(V),Strike(V),Technical,Strike,Technical,Strike(H),Strike(H),Rapid,Support(H)
33,雄英夏服〈ヴィランライク〉,R,1,Assault,Rapid,Assault,Assault,Strike,Support,Strike,Technical,Assault,Technical,Rapid,Assault(V)
34,くノ一,PUR,3,Assault,Rapid,Rapid,Support(V),Technical(H),Technical,Strike,Assault,Strike(H),Rapid(V),Strike,Assault(H)
35,くノ一〈ヴィランライク〉,PUR,3,Technical,Assault,Strike,Support(H),Rapid(H),Strike,Assault,Strike,Rapid(V),Support(V),Assault,Rapid(H)
36,くノ一〈ヒート〉,PUR,3,Technical,Support,Assault,Assault(H),Strike(V),Strike,Technical,Technical,Rapid(H),Assault(V),Technical,Technical(H)
37,くノ一〈コンバット〉,PUR,3,Strike,Rapid,Support,Strike(V),Support(H),Technical,Rapid,Technical,Support(V),Rapid(H),Assault,Support(V)
38,くノ一〈ファンシー〉,PUR,3,Rapid,Strike,Assault,Support(V),Technical(H),Assault,Technical,Assault,Technical(V),Strike(H),Support,Strike(V)
39,くノ一〈デンジャラス〉,PUR,3,Support,Technical,Strike,Rapid(V),Assault(H),Technical,Assault,Strike,Strike(H),Strike(V),Rapid,Technical(V)
