No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Rapid,Support,Rapid,Technical,Rapid,Rapid,Rapid,Strike,Rapid,Strike,Technical,Rapid(H)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Assault,Assault,Technical,Technical,Strike,Support,Strike,Technical,Strike,Rapid,Rapid,Strike(H)
3,ヒーローコスチューム〈ヒート〉,R,1,Strike,Assault,Rapid,Support,Support,Technical,Technical,Rapid,Rapid,Assault,Rapid,Assault(V)
4,ヒーローコスチューム〈ファンシー〉,R,1,Support,Assault,Support,Technical,Strike,Support,Strike,Strike,Strike,Rapid,Assault,Support(V)
5,ヒーローコスチューム〈デンジャラス〉,R,1,Assault,Assault,Assault,Strike,Technical,Strike,Strike,Assault,Strike,Assault,Support,Support(V)
6,マスクオフαver.,SR,2,Rapid,Assault,Support,Rapid,Strike(V),Support,Strike,Technical,Rapid,Strike(V),Assault,Rapid(H)
7,マスクオフαver.〈ヴィランライク〉,R,1,Strike,Strike,Support,Assault,Rapid,Support,Support,Assault,Support,Strike,Strike,Strike(V)
8,マスクオフαver.〈ヒート〉,R,1,Assault,Assault,Support,Support,Assault,Assault,Rapid,Support,Assault,Technical,Rapid,Technical(H)
9,マスクオフαver.〈デンジャラス〉,R,1,Rapid,Strike,Assault,Strike,Technical,Support,Technical,Rapid,Technical,Support,Assault,Assault(V)
10,マスクオフαver.〈コンバット〉,R,1,Assault,Strike,Support,Strike,Support,Support,Support,Strike,Technical,Rapid,Support,Strike(V)
11,ヒーローコスチューム〈コンバット〉,R,1,Support,Rapid,Assault,Technical,Rapid,Assault,Technical,Support,Assault,Support,Technical,Assault(V)
12,カジュアルスタイル,PUR,3,Support,Support,Rapid,Assault(H),Technical(V),Strike,Rapid,Rapid,Rapid(H),Strike(V),Assault,Assault(V)
13,カジュアルスタイル〈ヴィランライク〉,PUR,3,Support,Support,Strike,Assault(H),Strike(H),Assault,Strike,Rapid,Rapid(H),Strike(V),Support,Rapid(H)
14,カジュアルスタイル〈ヒート〉,PUR,3,Rapid,Assault,Support,Strike(H),Technical(V),Strike,Assault,Rapid,Assault(V),Technical(H),Rapid,Technical(H)
15,カジュアルスタイル〈コンバット〉,PUR,3,Technical,Support,Support,Support(H),Assault(H),Rapid,Support,Assault,Assault(V),Support(H),Rapid,Technical(V)
16,カジュアルスタイル〈ファンシー〉,PUR,3,Assault,Strike,Technical,Technical(H),Support(H),Support,Support,Rapid,Strike(H),Strike(V),Strike,Strike(H)
17,カジュアルスタイル〈デンジャラス〉,PUR,3,Support,Strike,Assault,Technical(V),Technical(V),Technical,Assault,Technical,Technical(V),Strike(H),Assault,Rapid(V)
18,安無領過武瑠(アンブレイカブル),PUR,3,Technical,Technical,Assault,Assault(H),Technical(H),Support,Rapid,Technical,Rapid(H),Strike(H),Rapid,Assault(V)
19,安無領過武瑠(アンブレイカブル)〈ヴィランライク〉,PUR,3,Rapid,Technical,Support,Rapid(H),Technical(H),Rapid,Support,Rapid,Rapid(V),Assault(H),Strike,Rapid(H)
20,安無領過武瑠(アンブレイカブル)〈ヒート〉,PUR,3,Support,Assault,Support,Rapid(H),Technical(V),Support,Strike,Rapid,Rapid(H),Strike(V),Support,Support(H)
21,安無領過武瑠(アンブレイカブル)〈コンバット〉,PUR,3,Strike,Strike,Assault,Strike(V),Assault(V),Technical,Support,Rapid,Support(H),Rapid(H),Technical,Assault(H)
22,安無領過武瑠(アンブレイカブル)〈ファンシー〉,PUR,3,Strike,Assault,Technical,Technical(H),Support(H),Rapid,Technical,Assault,Assault(V),Support(V),Assault,Strike(V)
23,安無領過武瑠(アンブレイカブル)〈デンジャラス〉,PUR,3,Assault,Rapid,Strike,Technical(H),Technical(V),Rapid,Assault,Strike,Support(V),Rapid(V),Rapid,Technical(H)
24,カンフー装束,PUR,3,Technical,Strike,Rapid,Strike(H),Rapid(H),Strike,Rapid,Strike,Rapid(V),Strike(V),Rapid,Assault(V)
25,カンフー装束〈ヴィランライク〉,PUR,3,Assault,Strike,Assault,Rapid(H),Strike(V),Assault,Support,Strike,Rapid(H),Strike(V),Assault,Assault(H)
26,カンフー装束〈ヒート〉,PUR,3,Strike,Rapid,Technical,Rapid(V),Technical(V),Strike,Rapid,Rapid,Support(H),Assault(H),Strike,Assault(V)
27,カンフー装束〈コンバット〉,PUR,3,Support,Strike,Strike,Technical(H),Technical(V),Support,Rapid,Assault,Technical(H),Rapid(V),Assault,Support(H)
28,カンフー装束〈ファンシー〉,PUR,3,Rapid,Assault,Support,Technical(H),Technical(V),Strike,Assault,Support,Support(V),Strike(H),Assault,Strike(H)
29,カンフー装束〈デンジャラス〉,PUR,3,Technical,Support,Assault,Strike(H),Technical(H),Assault,Support,Support,Strike(H),Support(V),Assault,Support(H)
30,思い出の制服,PUR,3,Assault,Rapid,Strike,Rapid(H),Rapid(H),Assault,Strike,Technical,Rapid(H),Support(H),Technical,Assault(V)
31,思い出の制服〈ヴィランライク〉,PUR,3,Assault,Technical,Assault,Rapid(V),Strike(V),Assault,Strike,Technical,Support(V),Assault(V),Strike,Assault(H)
32,思い出の制服〈ヒート〉,PUR,3,Strike,Support,Support,Rapid(V),Support(V),Strike,Strike,Rapid,Support(V),Strike(H),Support,Support(H)
33,思い出の制服〈コンバット〉,PUR,3,Rapid,Rapid,Rapid,Strike(V),Support(H),Technical,Assault,Rapid,Strike(V),Strike(H),Rapid,Rapid(V)
34,思い出の制服〈ファンシー〉,PUR,3,Strike,Technical,Support,Technical(V),Assault(H),Assault,Support,Rapid,Rapid(H),Strike(V),Technical,Strike(H)
35,思い出の制服〈デンジャラス〉,PUR,3,Assault,Rapid,Strike,Strike(H),Technical(V),Support,Support,Support,Assault(H),Technical(H),Support,Rapid(H)
36,雄英夏服,SR,2,Support,Support,Assault,Assault,Technical(H),Technical,Strike,Support,Support,Rapid(H),Assault,Support(H)
