No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Technical,Support,Assault,Technical,Support,Strike,Strike,Assault,Rapid,Rapid,Rapid,Support(H)
2,ヒーローコスチューム〈ヒート〉,R,1,Support,Assault,Rapid,Support,Technical,Support,Strike,Support,Rapid,Technical,Strike,Technical(V)
3,ヒーローコスチューム〈ファンシー〉,R,1,Strike,Rapid,Technical,Technical,Support,Rapid,Assault,Strike,Rapid,Support,Rapid,Assault(H)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Assault,Rapid,Technical,Technical,Technical,Support,Strike,Strike,Strike,Technical,Assault,Strike(H)
5,諦めざる心,SR,2,Rapid,Strike,Technical,Support,Strike(V),Support,Assault,Assault,Strike,Rapid(V),Strike,Rapid(V)
6,諦めざる心〈ヴィランライク〉,R,1,Support,Assault,Assault,Support,Strike,Technical,Support,Technical,Strike,Technical,Rapid,Strike(V)
7,諦めざる心〈ファンシー〉,R,1,Strike,Technical,Support,Technical,Rapid,Rapid,Support,Assault,Assault,Strike,Technical,Assault(H)
8,諦めざる心〈デンジャラス〉,R,1,Rapid,Technical,Strike,Technical,Support,Strike,Assault,Strike,Assault,Strike,Strike,Assault(V)
9,諦めざる心〈コンバット〉,R,1,Support,Support,Strike,Assault,Rapid,Assault,Strike,Rapid,Support,Rapid,Support,Technical(V)
10,私服,PUR,3,Support,Assault,Technical,Support(H),Rapid(H),Rapid,Strike,Technical,Technical(H),Strike(H),Technical,Support(V)
11,私服〈ヴィランライク〉,PUR,3,Technical,Support,Technical,Assault(H),Technical(H),Support,Assault,Assault,Technical(V),Support(V),Assault,Technical(H)
12,私服〈ヒート〉,PUR,3,Assault,Strike,Strike,Assault(V),Rapid(H),Assault,Rapid,Strike,Assault(H),Technical(H),Rapid,Assault(H)
13,私服〈コンバット〉,PUR,3,Assault,Rapid,Rapid,Support(V),Support(H),Support,Assault,Rapid,Assault(V),Rapid(H),Strike,Support(H)
14,私服〈ファンシー〉,PUR,3,Strike,Support,Technical,Strike(H),Strike(V),Strike,Technical,Support,Technical(H),Strike(V),Support,Rapid(H)
15,私服〈デンジャラス〉,PUR,3,Assault,Technical,Rapid,Assault(H),Strike(V),Strike,Support,Rapid,Technical(H),Support(H),Technical,Strike(V)
16,諦めざる心〈ヒート〉,R,1,Assault,Rapid,Strike,Assault,Technical,Support,Strike,Support,Assault,Assault,Assault,Support(H)
17,ヒーローコスチューム〈ヴィランライク〉,R,1,Rapid,Technical,Support,Rapid,Technical,Assault,Rapid,Strike,Support,Rapid,Support,Strike(V)
18,ヒーローコスチューム〈コンバット〉,R,1,Strike,Strike,Assault,Strike,Assault,Technical,Support,Technical,Rapid,Rapid,Technical,Rapid(H)
19,お祭り浴衣,PUR,3,Assault,Rapid,Assault,Support(V),Technical(V),Strike,Support,Technical,Assault(H),Rapid(H),Assault,Rapid(V)
20,お祭り浴衣〈ヴィランライク〉,PUR,3,Support,Strike,Assault,Support(H),Assault(H),Support,Technical,Technical,Rapid(V),Support(V),Technical,Technical(H)
21,お祭り浴衣〈ヒート〉,PUR,3,Strike,Strike,Support,Technical(V),Technical(H),Assault,Assault,Support,Rapid(H),Rapid(V),Support,Assault(H)
22,お祭り浴衣〈コンバット〉,PUR,3,Technical,Rapid,Technical,Strike(H),Assault(H),Strike,Assault,Strike,Support(V),Rapid(V),Strike,Strike(V)
23,お祭り浴衣〈ファンシー〉,PUR,3,Rapid,Assault,Rapid,Assault(H),Strike(V),Support,Rapid,Rapid,Technical(V),Strike(H),Rapid,Strike(H)
24,お祭り浴衣〈デンジャラス〉,PUR,3,Support,Rapid,Technical,Technical(H),Strike(V),Rapid,Technical,Assault,Technical(V),Support(H),Support,Support(V)
25,冒険者,PUR,3,Strike,Assault,Strike,Support(V),Rapid(V),Rapid,Assault,Strike,Technical(H),Strike(H),Assault,Technical(V)
26,冒険者〈ヴィランライク〉,PUR,3,Support,Assault,Strike,Technical(H),Assault(H),Rapid,Strike,Technical,Rapid(V),Support(V),Strike,Rapid(H)
27,冒険者〈ヒート〉,PUR,3,Rapid,Strike,Assault,Support(H),Rapid(H),Strike,Assault,Assault,Technical(V),Strike(V),Support,Strike(H)
28,冒険者〈コンバット〉,PUR,3,Assault,Support,Strike,Rapid(V),Technical(V),Support,Technical,Support,Strike(H),Technical(H),Technical,Assault(V)
29,冒険者〈ファンシー〉,PUR,3,Technical,Technical,Assault,Strike(H),Support(H),Strike,Support,Assault,Strike(V),Support(V),Rapid,Technical(H)
30,冒険者〈デンジャラス〉,PUR,3,Rapid,Assault,Rapid,Technical(V),Strike(V),Support,Rapid,Assault,Support(H),Rapid(H),Strike,Support(V)
