No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Technical,Assault,Support,Strike,Technical,Support,Assault,Rapid,Strike,Rapid,Assault,Rapid(H)
2,ヒーローコスチューム〈ヒート〉,R,1,Strike,Assault,Support,Technical,Support,Rapid,Strike,Assault,Support,Technical,Support,Assault(H)
3,ヒーローコスチューム〈ファンシー〉,R,1,Assault,Rapid,Assault,Rapid,Strike,Support,Technical,Rapid,Assault,Support,Rapid,Technical(V)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Technical,Rapid,Technical,Strike,Assault,Technical,Support,Strike,Support,Rapid,Assault,Strike(V)
5,私服,PUR,3,Support,Rapid,Assault,Technical(V),Assault(H),Rapid,Strike,Technical,Strike(H),Rapid(V),Rapid,Strike(H)
6,私服〈ヴィランライク〉,PUR,3,Strike,Assault,Technical,Strike(V),Support(V),Rapid,Strike,Support,Technical(H),Rapid(H),Assault,Support(H)
7,私服〈ヒート〉,PUR,3,Assault,Rapid,Support,Rapid(H),Support(H),Strike,Strike,Assault,Support(V),Technical(V),Strike,Support(V)
8,私服〈コンバット〉,PUR,3,Technical,Strike,Support,Strike(H),Technical(H),Assault,Rapid,Technical,Rapid(V),Support(V),Technical,Rapid(V)
9,私服〈ファンシー〉,PUR,3,Rapid,Assault,Strike,Technical(V),Support(V),Assault,Rapid,Assault,Strike(H),Technical(H),Support,Technical(V)
10,私服〈デンジャラス〉,PUR,3,Assault,Support,Support,Strike(H),Strike(V),Support,Strike,Rapid,Technical(V),Technical(H),Rapid,Assault(H)
11,お祭り衣装,PUR,3,Strike,Assault,Rapid,Support(H),Assault(H),Assault,Technical,Support,Technical(V),Strike(V),Support,Rapid(V)
12,お祭り衣装〈ヴィランライク〉,PUR,3,Rapid,Support,Technical,Assault(H),Support(V),Strike,Assault,Strike,Technical(V),Support(H),Rapid,Support(V)
13,お祭り衣装〈ヒート〉,PUR,3,Assault,Technical,Rapid,Technical(H),Strike(H),Rapid,Assault,Strike,Rapid(V),Support(V),Strike,Assault(H)
14,お祭り衣装〈コンバット〉,PUR,3,Strike,Assault,Support,Technical(V),Rapid(H),Assault,Strike,Rapid,Support(V),Technical(H),Technical,Strike(V)
15,お祭り衣装〈ファンシー〉,PUR,3,Support,Strike,Strike,Technical(V),Rapid(V),Strike,Assault,Technical,Support(V),Rapid(H),Assault,Technical(H)
16,お祭り衣装〈デンジャラス〉,PUR,3,Technical,Assault,Technical,Strike(V),Rapid(V),Support,Technical,Support,Rapid(H),Assault(H),Strike,Strike(H)
