No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Technical,Assault,Strike,Rapid,Support,Technical,Rapid,Support,Rapid,Assault,Support,Technical(H)
2,ヒーローコスチューム〈ヒート〉,R,1,Assault,Rapid,Technical,Strike,Rapid,Assault,Technical,Support,Technical,Strike,Technical,Strike(H)
3,ヒーローコスチューム〈コンバット〉,R,1,Strike,Assault,Support,Strike,Rapid,Support,Strike,Rapid,Assault,Technical,Rapid,Support(V)
4,ヒーローコスチューム〈ファンシー〉,R,1,Technical,Assault,Support,Assault,Strike,Rapid,Assault,Support,Technical,Rapid,Strike,Assault(H)
5,深淵の鎧,PUR,3,Support,Rapid,Strike,Technical(V),Rapid(V),Assault,Rapid,Assault,Support(H),Strike(H),Technical,Support(V)
6,深淵の鎧〈ヴィランライク〉,PUR,3,Assault,Strike,Support,Rapid(H),Support(V),Technical,Assault,Support,Technical(H),Strike(V),Strike,Rapid(V)
7,深淵の鎧〈ヒート〉,PUR,3,Technical,Technical,Strike,Support(H),Assault(H),Assault,Strike,Assault,Rapid(V),Support(V),Assault,Strike(H)
8,深淵の鎧〈コンバット〉,PUR,3,Rapid,Assault,Rapid,Strike(H),Support(H),Rapid,Technical,Technical,Assault(V),Strike(V),Support,Assault(H)
9,深淵の鎧〈ファンシー〉,PUR,3,Technical,Support,Technical,Strike(V),Strike(H),Strike,Assault,Assault,Rapid(V),Support(H),Rapid,Technical(H)
10,深淵の鎧〈デンジャラス〉,PUR,3,Assault,Technical,Strike,Technical(H),Strike(H),Rapid,Rapid,Support,Technical(V),Support(V),Strike,Technical(V)
11,オフスタイル,PUR,3,Strike,Rapid,Strike,Technical(V),Assault(H),Support,Strike,Assault,Support(V),Technical(H),Rapid,Strike(V)
12,オフスタイル〈ヴィランライク〉,PUR,3,Rapid,Support,Strike,Support(V),Technical(V),Assault,Rapid,Assault,Strike(H),Technical(H),Strike,Support(H)
13,オフスタイル〈ヒート〉,PUR,3,Assault,Strike,Assault,Technical(H),Rapid(V),Strike,Technical,Support,Assault(V),Support(H),Technical,Assault(H)
14,オフスタイル〈コンバット〉,PUR,3,Support,Assault,Strike,Assault(V),Rapid(H),Rapid,Technical,Rapid,Strike(H),Rapid(V),Rapid,Rapid(H)
15,オフスタイル〈ファンシー〉,PUR,3,Technical,Support,Strike,Technical(V),Rapid(H),Assault,Support,Technical,Rapid(V),Technical(H),Assault,Assault(V)
16,オフスタイル〈デンジャラス〉,PUR,3,Strike,Technical,Support,Technical(H),Assault(H),Rapid,Support,Strike,Support(V),Assault(V),Support,Technical(V)
