No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Assault,Assault,Rapid,Technical,Strike,Technical,Support,Technical,Technical,Strike,Rapid,Support(H)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Rapid,Strike,Assault,Technical,Support,Rapid,Technical,Support,Assault,Strike,Strike,Rapid(V)
3,ヒーローコスチューム〈ヒート〉,R,1,Strike,Support,Technical,Support,Support,Rapid,Rapid,Strike,Assault,Strike,Assault,Support(H)
4,ヒーローコスチューム〈ファンシー〉,R,1,Assault,Support,Rapid,Rapid,Strike,Rapid,Technical,Rapid,Technical,Strike,Support,Assault(H)
5,雄英ジャージ,PUR,3,Assault,Assault,Strike,Rapid(H),Strike(H),Support,Technical,Technical,Rapid(V),Technical(H),Assault,Strike(H)
6,サイバーヒーローコスチューム,PUR,3,Technical,Rapid,Strike,Strike(H),Support(V),Assault,Assault,Strike,Rapid(H),Rapid(V),Support,Rapid(H)
7,サイバーヒーローコスチューム〈ヴィランライク〉,PUR,3,Rapid,Assault,Strike,Support(H),Support(V),Support,Strike,Rapid,Support(H),Technical(H),Technical,Assault(H)
8,サイバーヒーローコスチューム〈ヒート〉,PUR,3,Assault,Strike,Assault,Support(V),Strike(V),Rapid,Support,Rapid,Technical(H),Technical(H),Assault,Support(H)
9,サイバーヒーローコスチューム〈コンバット〉,PUR,3,Technical,Rapid,Technical,Strike(H),Assault(H),Support,Strike,Strike,Assault(H),Rapid(V),Support,Strike(V)
10,サイバーヒーローコスチューム〈ファンシー〉,PUR,3,Assault,Strike,Assault,Support(H),Technical(V),Rapid,Assault,Strike,Technical(H),Assault(V),Strike,Technical(V)
11,サイバーヒーローコスチューム〈デンジャラス〉,PUR,3,Rapid,Assault,Rapid,Assault(H),Rapid(H),Technical,Technical,Strike,Support(H),Rapid(V),Rapid,Rapid(V)
12,忍,PUR,3,Strike,Rapid,Assault,Support(H),Technical(V),Technical,Support,Assault,Rapid(H),Strike(V),Rapid,Strike(H)
13,忍〈ヴィランライク〉,PUR,3,Rapid,Assault,Support,Assault(V),Strike(H),Strike,Technical,Assault,Technical(V),Support(H),Support,Rapid(V)
14,忍〈ヒート〉,PUR,3,Technical,Strike,Rapid,Strike(V),Technical(H),Assault,Strike,Support,Rapid(V),Rapid(H),Assault,Technical(H)
15,忍〈コンバット〉,PUR,3,Assault,Strike,Technical,Rapid(V),Support(V),Rapid,Rapid,Technical,Strike(H),Technical(H),Strike,Support(H)
16,忍〈ファンシー〉,PUR,3,Support,Rapid,Strike,Technical(H),Strike(V),Strike,Support,Assault,Support(V),Assault(H),Technical,Assault(V)
17,忍〈デンジャラス〉,PUR,3,Strike,Assault,Strike,Support(H),Rapid(V),Technical,Assault,Technical,Support(H),Assault(V),Rapid,Support(V)
