No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Support,Assault,Technical,Strike,Support,Rapid,Strike,Rapid,Technical,Rapid,Strike,Assault(V)
2,ヒーローコスチューム〈ヒート〉,R,1,Assault,Rapid,Technical,Rapid,Rapid,Strike,Rapid,Rapid,Support,Assault,Assault,Strike(H)
3,ヒーローコスチューム〈コンバット〉,R,1,Assault,Support,Rapid,Support,Support,Support,Rapid,Assault,Technical,Assault,Rapid,Support(V)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Technical,Strike,Rapid,Technical,Strike,Assault,Technical,Technical,Strike,Technical,Support,Strike(V)
5,マスクオフ,SR,2,Rapid,Strike,Technical,Rapid,Strike(V),Technical,Support,Assault,Assault,Support(H),Technical,Assault(V)
6,マスクオフ〈ヴィランライク〉,R,1,Support,Assault,Assault,Assault,Strike,Rapid,Technical,Support,Assault,Technical,Support,Rapid(V)
7,マスクオフ〈ファンシー〉,R,1,Strike,Technical,Support,Technical,Technical,Strike,Rapid,Technical,Technical,Support,Assault,Support(V)
8,マスクオフ〈デンジャラス〉,R,1,Rapid,Technical,Support,Support,Support,Assault,Rapid,Support,Support,Technical,Rapid,Assault(H)
9,マスクオフ〈コンバット〉,R,1,Support,Support,Strike,Assault,Strike,Strike,Strike,Assault,Strike,Assault,Technical,Strike(H)
10,私服,PUR,3,Technical,Assault,Strike,Rapid(V),Strike(H),Strike,Rapid,Strike,Assault(H),Support(H),Rapid,Technical(V)
11,私服〈ヴィランライク〉,PUR,3,Rapid,Technical,Support,Strike(H),Rapid(V),Assault,Technical,Assault,Strike(H),Technical(H),Strike,Assault(H)
12,私服〈ヒート〉,PUR,3,Assault,Rapid,Technical,Rapid(H),Strike(H),Assault,Support,Technical,Support(H),Strike(V),Technical,Technical(H)
13,私服〈コンバット〉,PUR,3,Assault,Rapid,Support,Technical(H),Assault(H),Rapid,Rapid,Rapid,Technical(H),Rapid(H),Support,Rapid(V)
14,私服〈ファンシー〉,PUR,3,Support,Strike,Strike,Support(H),Technical(V),Support,Strike,Strike,Support(V),Assault(H),Rapid,Strike(H)
15,私服〈デンジャラス〉,PUR,3,Technical,Strike,Technical,Strike(H),Rapid(V),Technical,Strike,Technical,Strike(H),Strike(V),Assault,Technical(V)
16,ヒーローコスチューム〈ヴィランライク〉,R,1,Technical,Support,Technical,Assault,Technical,Assault,Assault,Support,Assault,Strike,Technical,Rapid(V)
17,マスクオフ〈ヒート〉,R,1,Assault,Rapid,Strike,Rapid,Technical,Support,Rapid,Rapid,Support,Technical,Strike,Support(V)
18,ヒーローコスチューム〈ファンシー〉,R,1,Rapid,Assault,Technical,Strike,Assault,Strike,Assault,Strike,Strike,Strike,Strike,Technical(H)
19,お祭り浴衣,PUR,3,Assault,Strike,Support,Rapid(V),Support(H),Technical,Rapid,Technical,Strike(H),Support(V),Strike,Technical(V)
20,お祭り浴衣〈ヒート〉,PUR,3,Support,Strike,Rapid,Rapid(H),Technical(H),Technical,Rapid,Strike,Rapid(V),Strike(V),Technical,Support(H)
21,お祭り浴衣〈コンバット〉,PUR,3,Strike,Assault,Assault,Support(H),Support(V),Rapid,Technical,Rapid,Technical(V),Strike(H),Support,Assault(H)
22,お祭り浴衣〈ヴィランライク〉,PUR,3,Rapid,Assault,Strike,Assault(H),Technical(V),Assault,Strike,Technical,Assault(H),Support(V),Assault,Rapid(V)
23,お祭り浴衣〈ファンシー〉,PUR,3,Technical,Strike,Assault,Technical(V),Assault(H),Technical,Rapid,Technical,Support(V),Technical(H),Rapid,Strike(V)
24,お祭り浴衣〈デンジャラス〉,PUR,3,Support,Support,Rapid,Strike(H),Technical(H),Rapid,Assault,Assault,Technical(V),Strike(V),Assault,Technical(H)
25,雄英夏服,SR,2,Rapid,Technical,Rapid,Technical,Support(V),Strike,Assault,Strike,Technical,Assault(H),Support,Assault(V)
26,冒険者,PUR,3,Support,Rapid,Rapid,Strike(H),Technical(V),Technical,Assault,Assault,Rapid(V),Support(H),Support,Technical(H)
27,冒険者〈ヴィランライク〉,PUR,3,Technical,Assault,Strike,Technical(H),Rapid(H),Rapid,Strike,Support,Strike(V),Assault(V),Strike,Rapid(H)
28,冒険者〈ヒート〉,PUR,3,Strike,Rapid,Support,Assault(H),Rapid(V),Technical,Strike,Technical,Technical(H),Support(V),Assault,Support(H)
29,冒険者〈コンバット〉,PUR,3,Rapid,Technical,Strike,Support(H),Assault(H),Assault,Support,Rapid,Strike(V),Technical(H),Technical,Technical(V)
30,冒険者〈ファンシー〉,PUR,3,Assault,Rapid,Assault,Technical(V),Strike(V),Support,Technical,Strike,Assault(H),Support(H),Rapid,Assault(V)
31,冒険者〈デンジャラス〉,PUR,3,Support,Strike,Assault,Rapid(V),Support(H),Rapid,Support,Strike,Support(V),Technical(H),Assault,Strike(V)
