No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヴィランコスチューム,C,0,Strike,Support,Technical,Assault,Rapid,Assault,Technical,Support,Support,Strike,Assault,Support(H)
2,ヴィランコスチューム〈ヒート〉,R,1,Strike,Technical,Support,Support,Technical,Strike,Strike,Strike,Assault,Rapid,Technical,Rapid(H)
3,ヴィランコスチューム〈コンバット〉,R,1,Support,Strike,Assault,Strike,Assault,Assault,Support,Rapid,Support,Support,Strike,Assault(H)
4,ヴィランコスチューム〈ファンシー〉,R,1,Technical,Strike,Technical,Technical,Support,Rapid,Support,Technical,Strike,Assault,Assault,Rapid(V)
5,ヴィランコスチューム〈デンジャラス〉,R,1,Support,Rapid,Strike,Assault,Rapid,Assault,Technical,Rapid,Rapid,Strike,Rapid,Technical(V)
6,フードの下の眼光,SR,2,Technical,Support,Rapid,Strike,Rapid(V),Strike,Technical,Strike,Assault,Strike(H),Support,Strike(H)
7,フードの下の眼光〈ヒーローライク〉,R,1,Rapid,Technical,Support,Rapid,Rapid,Rapid,Technical,Assault,Strike,Assault,Strike,Support(H)
8,フードの下の眼光〈ヒート〉,R,1,Support,Rapid,Technical,Support,Assault,Strike,Rapid,Support,Support,Assault,Rapid,Support(H)
9,フードの下の眼光〈コンバット〉,R,1,Technical,Support,Rapid,Technical,Technical,Support,Rapid,Technical,Strike,Strike,Support,Assault(H)
10,フードの下の眼光〈デンジャラス〉,R,1,Assault,Rapid,Strike,Strike,Technical,Assault,Support,Rapid,Support,Technical,Technical,Strike(V)
11,変装服(ロングコート),PUR,3,Strike,Assault,Support,Assault(H),Technical(H),Technical,Assault,Rapid,Rapid(H),Strike(V),Support,Strike(H)
12,変装服(ロングコート)〈ヒーローライク〉,PUR,3,Rapid,Support,Support,Strike(V),Support(H),Strike,Strike,Rapid,Rapid(H),Rapid(H),Support,Assault(H)
13,変装服(ロングコート)〈コンバット〉,PUR,3,Strike,Support,Rapid,Strike(V),Strike(H),Assault,Rapid,Support,Strike(H),Assault(H),Strike,Support(H)
14,変装服(ロングコート)〈ファンシー〉,PUR,3,Technical,Technical,Assault,Rapid(H),Technical(H),Support,Strike,Technical,Support(H),Technical(V),Technical,Strike(H)
15,変装服(ロングコート)〈デンジャラス〉,PUR,3,Assault,Strike,Strike,Technical(H),Rapid(V),Assault,Support,Technical,Support(V),Rapid(H),Assault,Rapid(H)
16,変装服(ロングコート)〈ヒート〉,PUR,3,Support,Assault,Assault,Support(V),Strike(H),Support,Support,Technical,Strike(H),Strike(H),Rapid,Technical(V)
17,ヴィランスーツ,SR,2,Strike,Assault,Support,Technical,Strike(H),Strike,Rapid,Assault,Rapid,Technical(H),Assault,Strike(V)
18,ヴィランスーツ〈コンバット〉,R,1,Strike,Assault,Assault,Assault,Rapid,Technical,Support,Assault,Technical,Strike,Technical,Support(V)
19,ヴィランスーツ〈デンジャラス〉,R,1,Rapid,Strike,Support,Support,Assault,Technical,Assault,Strike,Support,Support,Assault,Technical(V)
