No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Technical,Strike,Support,Assault,Strike,Rapid,Support,Rapid,Technical,Rapid,Rapid,Assault(H)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Assault,Technical,Assault,Rapid,Support,Assault,Assault,Support,Rapid,Strike,Assault,Strike(V)
3,ヒーローコスチューム〈コンバット〉,R,1,Assault,Technical,Support,Support,Strike,Support,Rapid,Assault,Technical,Support,Support,Rapid(V)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Support,Rapid,Technical,Technical,Rapid,Assault,Technical,Assault,Strike,Technical,Technical,Assault(V)
5,雄英冬服,SR,2,Technical,Assault,Strike,Assault,Strike(V),Technical,Support,Assault,Assault,Technical(H),Technical,Rapid(H)
6,ミスコン衣装,PUR,3,Support,Assault,Support,Strike(V),Support(V),Rapid,Strike,Assault,Strike(H),Rapid(H),Assault,Rapid(V)
7,ミスコン衣装〈ヴィランライク〉,PUR,3,Support,Rapid,Technical,Strike(V),Technical(V),Strike,Strike,Assault,Rapid(V),Strike(H),Technical,Strike(H)
8,ミスコン衣装〈ヒート〉,PUR,3,Support,Assault,Rapid,Support(V),Strike(V),Support,Strike,Support,Technical(H),Rapid(H),Rapid,Assault(V)
9,ミスコン衣装〈コンバット〉,PUR,3,Strike,Strike,Assault,Rapid(V),Strike(H),Strike,Technical,Assault,Rapid(H),Strike(H),Strike,Rapid(V)
10,ミスコン衣装〈ファンシー〉,PUR,3,Assault,Assault,Technical,Strike(V),Technical(H),Technical,Technical,Support,Assault(H),Rapid(H),Support,Technical(V)
11,ミスコン衣装〈デンジャラス〉,PUR,3,Support,Support,Technical,Rapid(V),Rapid(H),Assault,Rapid,Assault,Rapid(H),Strike(H),Assault,Support(H)
12,雄英冬服〈デンジャラス〉,R,1,Technical,Strike,Technical,Strike,Rapid,Assault,Rapid,Strike,Technical,Technical,Support,Support(V)
13,スーパースター・アイドル,PUR,3,Strike,Strike,Assault,Rapid(H),Technical(H),Technical,Support,Support,Technical(V),Strike(V),Rapid,Rapid(V)
14,スーパースター・アイドル〈ビオラ〉,PUR,3,Assault,Strike,Technical,Support(V),Rapid(H),Assault,Assault,Rapid,Technical(V),Support(H),Technical,Strike(V)
15,スーパースター・アイドル〈スカーレット〉,PUR,3,Rapid,Rapid,Technical,Technical(H),Assault(H),Support,Rapid,Support,Strike(V),Rapid(V),Rapid,Support(H)
16,スーパースター・アイドル〈アプリコット〉,PUR,3,Technical,Rapid,Support,Strike(H),Support(H),Assault,Support,Strike,Support(V),Strike(V),Support,Assault(H)
17,スーパースター・アイドル〈ミモザ〉,PUR,3,Assault,Rapid,Assault,Technical(V),Technical(H),Strike,Technical,Technical,Rapid(V),Support(H),Strike,Technical(V)
18,スーパースター・アイドル〈ラナンキュラス〉,PUR,3,Support,Support,Strike,Rapid(V),Support(V),Technical,Assault,Strike,Rapid(H),Rapid(H),Assault,Support(H)
19,お祭り浴衣,PUR,3,Support,Strike,Assault,Assault(H),Rapid(V),Strike,Rapid,Rapid,Support(V),Technical(H),Support,Strike(H)
20,お祭り浴衣〈ヴィランライク〉,PUR,3,Technical,Support,Assault,Strike(V),Rapid(H),Rapid,Strike,Support,Technical(V),Assault(H),Assault,Support(V)
21,お祭り浴衣〈ヒート〉,PUR,3,Support,Rapid,Rapid,Technical(H),Technical(V),Assault,Strike,Strike,Support(H),Strike(V),Rapid,Rapid(H)
22,お祭り浴衣〈コンバット〉,PUR,3,Assault,Strike,Technical,Strike(H),Support(V),Rapid,Assault,Assault,Rapid(V),Technical(H),Strike,Strike(V)
23,お祭り浴衣〈ファンシー〉,PUR,3,Support,Assault,Technical,Support(H),Support(V),Rapid,Strike,Strike,Technical(H),Rapid(V),Technical,Assault(H)
24,お祭り浴衣〈デンジャラス〉,PUR,3,Technical,Rapid,Strike,Technical(H),Support(H),Assault,Assault,Technical,Support(V),Rapid(V),Support,Technical(V)
25,サイバーヒーローコスチューム,PUR,3,Assault,Technical,Assault,Strike(V),Rapid(H),Support,Technical,Strike,Assault(H),Support(V),Technical,Rapid(V)
26,サイバーヒーローコスチューム〈ヴィランライク〉,PUR,3,Technical,Technical,Rapid,Strike(H),Strike(V),Strike,Technical,Support,Assault(H),Rapid(V),Assault,Rapid(H)
27,サイバーヒーローコスチューム〈ヒート〉,PUR,3,Rapid,Support,Strike,Assault(H),Rapid(V),Technical,Rapid,Technical,Support(V),Assault(H),Strike,Assault(V)
28,サイバーヒーローコスチューム〈コンバット〉,PUR,3,Support,Rapid,Technical,Rapid(V),Technical(V),Rapid,Assault,Rapid,Rapid(H),Support(H),Support,Support(H)
29,サイバーヒーローコスチューム〈ファンシー〉,PUR,3,Strike,Assault,Support,Technical(H),Strike(H),Support,Rapid,Support,Technical(V),Assault(V),Rapid,Strike(V)
30,サイバーヒーローコスチューム〈デンジャラス〉,PUR,3,Support,Rapid,Support,Strike(V),Assault(H),Assault,Technical,Rapid,Technical(V),Strike(H),Strike,Technical(H)
