No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Rapid,Strike,Rapid,Technical,Rapid,Technical,Strike,Support,Assault,Strike,Technical,Rapid(H)
2,ヒーローコスチューム〈デンジャラス〉,R,1,Technical,Support,Assault,Strike,Technical,Support,Rapid,Technical,Technical,Rapid,Support,Rapid(V)
3,家庭訪問スーツ〈デンジャラス〉,R,1,Rapid,Technical,Strike,Strike,Support,Assault,Rapid,Support,Assault,Technical,Technical,Support(H)
4,ヒーローコスチューム〈ヒート〉,R,1,Strike,Rapid,Rapid,Support,Assault,Rapid,Strike,Rapid,Support,Assault,Rapid,Strike(H)
5,ヒーローコスチューム〈ファンシー〉,R,1,Strike,Rapid,Support,Technical,Strike,Assault,Support,Rapid,Assault,Technical,Strike,Technical(V)
6,家庭訪問スーツ,SR,2,Assault,Strike,Technical,Strike,Strike(V),Assault,Technical,Technical,Support,Technical(V),Support,Assault(V)
7,家庭訪問スーツ〈ヴィランライク〉,R,1,Support,Strike,Assault,Support,Assault,Support,Assault,Technical,Assault,Technical,Strike,Strike(V)
8,家庭訪問スーツ〈コンバット〉,R,1,Support,Technical,Strike,Strike,Rapid,Strike,Strike,Technical,Assault,Strike,Assault,Technical(H)
9,カジュアルスタイル,PUR,3,Support,Support,Technical,Rapid(V),Strike(V),Assault,Strike,Technical,Rapid(H),Strike(H),Assault,Rapid(V)
10,カジュアルスタイル〈ヴィランライク〉,PUR,3,Assault,Technical,Rapid,Rapid(V),Strike(H),Support,Technical,Assault,Support(H),Strike(V),Strike,Rapid(H)
11,カジュアルスタイル〈ヒート〉,PUR,3,Strike,Assault,Technical,Assault(H),Strike(V),Assault,Assault,Strike,Assault(H),Technical(V),Rapid,Assault(V)
12,カジュアルスタイル〈コンバット〉,PUR,3,Rapid,Support,Rapid,Strike(H),Support(V),Support,Strike,Strike,Assault(H),Support(V),Assault,Support(H)
13,カジュアルスタイル〈ファンシー〉,PUR,3,Support,Support,Technical,Strike(V),Technical(H),Technical,Technical,Support,Assault(V),Rapid(H),Support,Technical(H)
14,カジュアルスタイル〈デンジャラス〉,PUR,3,Rapid,Assault,Rapid,Strike(H),Technical(V),Rapid,Technical,Rapid,Rapid(H),Support(V),Support,Strike(V)
