No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Assault,Support,Technical,Strike,Rapid,Rapid,Assault,Technical,Strike,Support,Rapid,Assault(H)
2,ヒーローコスチューム〈ヒート〉,R,1,Support,Technical,Strike,Rapid,Assault,Assault,Rapid,Assault,Support,Technical,Strike,Technical(H)
3,ヒーローコスチューム〈コンバット〉,R,1,Rapid,Assault,Support,Support,Strike,Strike,Rapid,Rapid,Rapid,Support,Support,Rapid(V)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Assault,Assault,Strike,Support,Support,Technical,Support,Assault,Strike,Assault,Technical,Rapid(H)
5,ワン・フォー・オール 最終決戦ver.,PUR,3,Strike,Support,Technical,Strike(V),Technical(V),Support,Strike,Assault,Rapid(H),Strike(H),Assault,Rapid(V)
6,ワン・フォー・オール 最終決戦ver.〈ヴィランライク〉,PUR,3,Assault,Technical,Strike,Assault(H),Support(H),Strike,Assault,Rapid,Rapid(V),Technical(V),Technical,Strike(H)
7,ワン・フォー・オール 最終決戦ver.〈ヒート〉,PUR,3,Rapid,Assault,Rapid,Strike(H),Support(V),Support,Technical,Rapid,Strike(V),Assault(H),Assault,Support(H)
8,ワン・フォー・オール 最終決戦ver.〈コンバット〉,PUR,3,Technical,Strike,Technical,Rapid(H),Support(H),Strike,Technical,Assault,Support(V),Rapid(V),Strike,Assault(V)
9,ワン・フォー・オール 最終決戦ver.〈ファンシー〉,PUR,3,Support,Rapid,Strike,Support(V),Technical(H),Assault,Support,Support,Strike(H),Technical(V),Rapid,Technical(H)
10,ワン・フォー・オール 最終決戦ver.〈デンジャラス〉,PUR,3,Assault,Assault,Strike,Rapid(H),Rapid(V),Technical,Assault,Rapid,Support(H),Strike(V),Technical,Assault(H)
11,レザースタイル OFAver.,PUR,3,Rapid,Assault,Rapid,Support(H),Support(V),Strike,Technical,Strike,Technical(V),Strike(H),Strike,Support(V)
12,レザースタイル OFAver.〈コンバット〉,PUR,3,Assault,Support,Rapid,Assault(H),Rapid(V),Strike,Strike,Rapid,Technical(H),Support(V),Technical,Rapid(H)
13,"""個性""アシストギア OFAver.",PUR,3,Support,Strike,Technical,Assault(V),Strike(H),Rapid,Rapid,Assault,Technical(V),Technical(H),Support,Strike(V)
14,"""個性""アシストギア OFAver.〈ヴィランライク〉",PUR,3,Technical,Rapid,Assault,Rapid(V),Assault(H),Rapid,Assault,Strike,Support(V),Strike(H),Assault,Technical(V)
15,"""個性""アシストギア OFAver.〈ヒート〉",PUR,3,Strike,Support,Assault,Strike(H),Support(V),Technical,Support,Technical,Support(H),Strike(V),Technical,Assault(H)
16,"""個性""アシストギア OFAver.〈コンバット〉",PUR,3,Rapid,Technical,Rapid,Assault(V),Support(V),Assault,Strike,Technical,Support(H),Strike(H),Strike,Rapid(H)
17,"""個性""アシストギア OFAver.〈ファンシー〉",PUR,3,Support,Strike,Strike,Support(V),Technical(V),Assault,Rapid,Rapid,Strike(H),Technical(H),Support,Assault(V)
18,"""個性""アシストギア OFAver.〈デンジャラス〉",PUR,3,Assault,Rapid,Assault,Support(V),Strike(H),Technical,Assault,Technical,Technical(V),Assault(H),Rapid,Support(H)
