No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Assault,Assault,Rapid,Technical,Support,Assault,Strike,Rapid,Technical,Assault,Strike,Support(H)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Assault,Rapid,Assault,Strike,Rapid,Assault,Support,Assault,Strike,Strike,Rapid,Assault(H)
3,ヒーローコスチューム〈ファンシー〉,R,1,Technical,Strike,Rapid,Strike,Rapid,Rapid,Assault,Support,Technical,Rapid,Technical,Strike(V)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Assault,Rapid,Rapid,Assault,Support,Assault,Support,Assault,Strike,Technical,Strike,Rapid(V)
5,私服,SR,2,Support,Support,Strike,Strike,Support(H),Technical,Strike,Support,Rapid,Strike(V),Support,Technical(V)
6,私服〈ヴィランライク〉,R,1,Assault,Rapid,Rapid,Assault,Rapid,Technical,Technical,Assault,Support,Strike,Strike,Support(H)
7,私服〈ヒート〉,R,1,Strike,Assault,Rapid,Support,Support,Technical,Technical,Rapid,Rapid,Assault,Rapid,Assault(V)
8,私服〈デンジャラス〉,R,1,Support,Support,Support,Rapid,Technical,Assault,Support,Strike,Strike,Strike,Assault,Strike(H)
9,ヒーローコスチューム〈ヒート〉,R,1,Rapid,Assault,Technical,Technical,Rapid,Strike,Rapid,Rapid,Rapid,Assault,Assault,Support(H)
10,私服〈ファンシー〉,R,1,Technical,Support,Strike,Strike,Technical,Assault,Rapid,Strike,Support,Strike,Support,Assault(V)
11,雄英ジャージ,SR,2,Strike,Strike,Technical,Rapid,Rapid(H),Technical,Support,Assault,Assault,Technical(H),Rapid,Assault(H)
12,ヒーローコスチューム〈コンバット〉,R,1,Support,Technical,Strike,Support,Assault,Support,Strike,Assault,Strike,Technical,Support,Technical(V)
13,カジュアルスタイル,PUR,3,Technical,Technical,Rapid,Technical(H),Support(V),Support,Rapid,Strike,Assault(H),Rapid(H),Support,Strike(V)
14,カジュアルスタイル〈ヴィランライク〉,PUR,3,Rapid,Rapid,Assault,Strike(V),Rapid(V),Assault,Assault,Strike,Rapid(V),Strike(V),Assault,Strike(H)
15,カジュアルスタイル〈ファンシー〉,PUR,3,Technical,Strike,Rapid,Technical(V),Rapid(H),Assault,Support,Rapid,Technical(H),Technical(V),Support,Strike(V)
16,カジュアルスタイル〈ヒート〉,PUR,3,Rapid,Strike,Technical,Technical(H),Rapid(H),Strike,Strike,Support,Assault(H),Support(V),Strike,Support(H)
17,カジュアルスタイル〈コンバット〉,PUR,3,Support,Technical,Rapid,Support(H),Assault(H),Strike,Support,Assault,Assault(V),Support(H),Rapid,Technical(V)
18,カジュアルスタイル〈デンジャラス〉,PUR,3,Assault,Rapid,Rapid,Assault(H),Technical(V),Rapid,Strike,Strike,Strike(V),Assault(V),Technical,Assault(H)
19,諦めざる心,PUR,3,Strike,Strike,Support,Technical(H),Strike(V),Support,Support,Strike,Strike(V),Assault(V),Assault,Strike(H)
20,諦めざる心〈ヴィランライク〉,PUR,3,Rapid,Assault,Support,Rapid(H),Strike(H),Strike,Rapid,Technical,Assault(V),Rapid(V),Rapid,Strike(H)
21,諦めざる心〈ヒート〉,PUR,3,Rapid,Rapid,Strike,Rapid(H),Rapid(V),Strike,Assault,Assault,Support(V),Support(H),Assault,Assault(H)
22,諦めざる心〈コンバット〉,PUR,3,Technical,Assault,Strike,Assault(H),Rapid(H),Technical,Assault,Strike,Technical(H),Support(H),Support,Rapid(V)
23,諦めざる心〈ファンシー〉,PUR,3,Strike,Assault,Technical,Assault(V),Support(H),Technical,Support,Assault,Strike(V),Technical(V),Strike,Support(H)
24,諦めざる心〈デンジャラス〉,PUR,3,Strike,Support,Technical,Strike(V),Support(V),Support,Support,Support,Assault(H),Technical(H),Technical,Rapid(V)
25,異世界装束,PUR,3,Rapid,Strike,Technical,Strike(H),Rapid(H),Strike,Rapid,Strike,Rapid(V),Strike(V),Rapid,Assault(V)
26,異世界装束〈ヴィランライク〉,PUR,3,Assault,Strike,Assault,Rapid(H),Strike(V),Assault,Support,Strike,Rapid(H),Strike(V),Assault,Assault(H)
27,異世界装束〈ヒート〉,PUR,3,Support,Assault,Technical,Support(H),Strike(H),Strike,Assault,Support,Assault(H),Strike(H),Strike,Assault(V)
28,異世界装束〈コンバット〉,PUR,3,Strike,Support,Rapid,Support(H),Strike(V),Rapid,Support,Support,Strike(H),Support(H),Rapid,Strike(H)
29,異世界装束〈ファンシー〉,PUR,3,Technical,Technical,Assault,Rapid(H),Technical(V),Support,Support,Strike,Strike(H),Technical(V),Support,Technical(H)
30,異世界装束〈デンジャラス〉,PUR,3,Assault,Assault,Strike,Technical(V),Technical(V),Rapid,Assault,Strike,Strike(H),Technical(H),Technical,Strike(H)
31,カンフー装束,PUR,3,Assault,Strike,Rapid,Rapid(V),Rapid(H),Assault,Rapid,Strike,Rapid(H),Strike(V),Assault,Rapid(H)
32,カンフー装束〈ヴィランライク〉,PUR,3,Assault,Assault,Technical,Strike(H),Rapid(V),Strike,Strike,Strike,Assault(H),Strike(H),Rapid,Strike(V)
33,カンフー装束〈ヒート〉,PUR,3,Support,Strike,Assault,Support(H),Assault(H),Strike,Assault,Strike,Assault(H),Rapid(V),Technical,Assault(V)
34,カンフー装束〈コンバット〉,PUR,3,Technical,Support,Rapid,Assault(H),Strike(H),Assault,Support,Support,Strike(H),Support(V),Assault,Support(H)
35,カンフー装束〈ファンシー〉,PUR,3,Rapid,Technical,Assault,Rapid(H),Assault(V),Rapid,Assault,Rapid,Strike(V),Strike(H),Strike,Technical(H)
36,カンフー装束〈デンジャラス〉,PUR,3,Assault,Rapid,Strike,Strike(H),Technical(H),Rapid,Strike,Assault,Strike(H),Technical(H),Support,Support(V)
37,雄英ジャージ〈ファンシー〉,R,1,Strike,Assault,Support,Support,Rapid,Strike,Rapid,Technical,Technical,Support,Support,Technical(V)
38,コスチュームε,PUR,3,Assault,Strike,Rapid,Technical(V),Assault(H),Support,Rapid,Rapid,Strike(V),Assault(H),Strike,Assault(H)
39,コスチュームε〈ヴィランライク〉,PUR,3,Assault,Support,Strike,Assault(V),Strike(V),Strike,Rapid,Support,Assault(H),Rapid(H),Rapid,Technical(H)
40,コスチュームε〈ヒート〉,PUR,3,Strike,Rapid,Rapid,Rapid(H),Assault(H),Strike,Support,Rapid,Strike(V),Support(V),Technical,Support(V)
41,コスチュームε〈コンバット〉,PUR,3,Support,Strike,Technical,Rapid(V),Technical(V),Technical,Assault,Technical,Technical(V),Strike(H),Assault,Rapid(V)
42,コスチュームε〈ファンシー〉,PUR,3,Rapid,Assault,Support,Technical(H),Rapid(H),Technical,Strike,Assault,Strike(H),Technical(H),Strike,Strike(H)
