No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヴィランコスチューム,C,0,Technical,Rapid,Support,Assault,Rapid,Strike,Support,Rapid,Strike,Technical,Support,Assault(H)
2,ヴィランコスチューム〈ヒーローライク〉,R,1,Support,Technical,Strike,Rapid,Strike,Assault,Technical,Assault,Rapid,Assault,Strike,Support(V)
3,ヴィランコスチューム〈ヒート〉,R,1,Assault,Rapid,Support,Assault,Technical,Strike,Technical,Rapid,Support,Support,Rapid,Technical(H)
4,ヴィランコスチューム〈デンジャラス〉,R,1,Support,Rapid,Rapid,Assault,Rapid,Technical,Technical,Assault,Support,Strike,Strike,Support(H)
5,変装服(ジップパーカー),PUR,3,Support,Strike,Assault,Rapid(H),Assault(H),Assault,Support,Support,Strike(H),Technical(H),Technical,Rapid(V)
6,変装服(ジップパーカー)〈ヒーローライク〉,PUR,3,Technical,Support,Rapid,Technical(V),Rapid(V),Support,Support,Technical,Technical(H),Strike(H),Rapid,Assault(V)
7,変装服(ジップパーカー)〈ヒート〉,PUR,3,Strike,Rapid,Strike,Support(H),Strike(H),Assault,Strike,Support,Strike(H),Rapid(H),Assault,Strike(V)
8,変装服(ジップパーカー)〈コンバット〉,PUR,3,Support,Rapid,Assault,Strike(V),Rapid(H),Assault,Rapid,Rapid,Support(V),Rapid(H),Technical,Rapid(H)
9,変装服(ジップパーカー)〈ファンシー〉,PUR,3,Strike,Assault,Assault,Technical(H),Strike(V),Technical,Strike,Technical,Assault(H),Assault(H),Support,Technical(H)
10,変装服(ジップパーカー)〈デンジャラス〉,PUR,3,Assault,Technical,Strike,Strike(V),Support(H),Technical,Strike,Rapid,Strike(H),Assault(H),Strike,Support(H)
11,ヴィランコスチュームαver.,SR,2,Assault,Technical,Support,Strike,Support(V),Assault,Technical,Rapid,Rapid,Support(H),Strike,Rapid(V)
12,ヴィランコスチュームαver.〈ヒート〉,R,1,Assault,Technical,Technical,Support,Technical,Support,Strike,Support,Assault,Assault,Support,Technical(H)
13,ヴィランコスチュームαver.〈デンジャラス〉,R,1,Assault,Technical,Assault,Technical,Technical,Support,Technical,Rapid,Rapid,Strike,Technical,Support(V)
14,ヴィランコスチューム〈ファンシー〉,R,1,Strike,Technical,Technical,Technical,Support,Strike,Assault,Strike,Technical,Strike,Technical,Assault(H)
15,フォーマルスーツ,SR,2,Technical,Support,Assault,Technical,Strike(V),Support,Technical,Assault,Rapid,Support(V),Assault,Technical(H)
16,ヴィランコスチューム白髪ver.,PUR,3,Support,Rapid,Support,Strike(V),Support(V),Assault,Strike,Support,Support(H),Strike(H),Assault,Technical(H)
17,ヴィランコスチューム白髪ver.〈ヒーローライク〉,PUR,3,Support,Assault,Technical,Support(V),Technical(H),Assault,Support,Rapid,Technical(V),Technical(V),Technical,Strike(V)
18,ヴィランコスチューム白髪ver.〈ヒート〉,PUR,3,Strike,Support,Support,Assault(V),Strike(H),Strike,Strike,Strike,Rapid(H),Strike(V),Strike,Rapid(H)
19,ヴィランコスチューム白髪ver.〈コンバット〉,PUR,3,Rapid,Technical,Strike,Assault(H),Assault(V),Assault,Rapid,Rapid,Assault(H),Assault(H),Rapid,Support(V)
20,ヴィランコスチューム白髪ver.〈デンジャラス〉,PUR,3,Rapid,Assault,Strike,Rapid(V),Technical(H),Support,Support,Assault,Strike(H),Technical(H),Assault,Assault(H)
21,ヴィランコスチュームαver.〈コンバット〉,R,1,Rapid,Rapid,Support,Rapid,Support,Assault,Support,Rapid,Support,Support,Rapid,Assault(H)
22,ヴィランコスチューム白髪ver.〈ファンシー〉,PUR,3,Support,Support,Rapid,Rapid(H),Rapid(H),Rapid,Technical,Rapid,Technical(V),Assault(V),Support,Assault(H)
23,フォーマルスーツ〈コンバット〉,R,1,Support,Technical,Technical,Technical,Strike,Strike,Support,Assault,Rapid,Technical,Strike,Assault(H)
24,フォーマルスーツ〈ヒーローライク〉,R,1,Assault,Technical,Rapid,Rapid,Technical,Strike,Support,Rapid,Rapid,Assault,Rapid,Strike(V)
25,サイバーパンク,PUR,3,Assault,Assault,Technical,Technical(H),Strike(H),Support,Technical,Support,Strike(V),Technical(V),Rapid,Technical(V)
26,サイバーパンク〈ヒーローライク〉,PUR,3,Rapid,Rapid,Support,Support(V),Assault(H),Technical,Assault,Support,Support(V),Strike(H),Strike,Assault(V)
27,サイバーパンク〈ヒート〉,PUR,3,Assault,Technical,Support,Assault(H),Assault(H),Strike,Rapid,Rapid,Support(H),Assault(H),Support,Strike(V)
28,サイバーパンク〈コンバット〉,PUR,3,Assault,Technical,Support,Strike(V),Rapid(H),Rapid,Rapid,Assault,Technical(H),Rapid(H),Technical,Support(H)
29,サイバーパンク〈ファンシー〉,PUR,3,Support,Technical,Strike,Rapid(V),Strike(H),Strike,Assault,Support,Technical(V),Strike(V),Rapid,Strike(H)
30,サイバーパンク〈デンジャラス〉,PUR,3,Rapid,Technical,Assault,Technical(H),Technical(H),Assault,Support,Assault,Strike(H),Technical(V),Assault,Rapid(H)
31,復讐の暗殺者,PUR,3,Strike,Rapid,Technical,Technical(H),Support(V),Assault,Assault,Strike,Rapid(V),Rapid(H),Support,Rapid(V)
32,復讐の暗殺者〈ヒーローライク〉,PUR,3,Rapid,Technical,Rapid,Technical(V),Strike(V),Technical,Strike,Rapid,Assault(H),Rapid(H),Technical,Technical(V)
33,復讐の暗殺者〈ヒート〉,PUR,3,Strike,Strike,Technical,Support(V),Strike(H),Technical,Support,Assault,Rapid(H),Strike(V),Assault,Support(H)
34,復讐の暗殺者〈コンバット〉,PUR,3,Technical,Support,Assault,Strike(V),Rapid(V),Assault,Support,Technical,Support(H),Technical(H),Strike,Strike(H)
35,復讐の暗殺者〈ファンシー〉,PUR,3,Assault,Assault,Support,Rapid(H),Technical(H),Strike,Assault,Rapid,Support(V),Technical(H),Rapid,Strike(V)
