No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Strike,Strike,Assault,Rapid,Rapid,Rapid,Support,Rapid,Technical,Rapid,Strike,Assault(H)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Assault,Rapid,Strike,Support,Technical,Assault,Assault,Rapid,Rapid,Strike,Assault,Technical(V)
3,ヒーローコスチューム〈ヒート〉,R,1,Support,Strike,Support,Assault,Technical,Strike,Rapid,Rapid,Strike,Assault,Technical,Rapid(H)
4,ヒーローコスチューム〈コンバット〉,R,1,Technical,Support,Technical,Rapid,Rapid,Technical,Rapid,Assault,Technical,Technical,Rapid,Strike(V)
5,ヒーローコスチューム〈デンジャラス〉,R,1,Support,Technical,Strike,Strike,Technical,Assault,Support,Rapid,Strike,Technical,Support,Assault(V)
6,オープンフェイス,SR,2,Technical,Strike,Assault,Assault,Technical(V),Rapid,Strike,Rapid,Technical,Assault(H),Rapid,Assault(H)
7,オープンフェイス〈ヴィランライク〉,R,1,Rapid,Technical,Strike,Assault,Technical,Assault,Rapid,Assault,Support,Strike,Strike,Technical(V)
8,オープンフェイス〈ファンシー〉,R,1,Strike,Rapid,Technical,Support,Strike,Rapid,Assault,Support,Support,Strike,Rapid,Rapid(H)
9,オープンフェイス〈デンジャラス〉,R,1,Assault,Rapid,Strike,Technical,Technical,Assault,Support,Technical,Support,Technical,Support,Strike(H)
10,異世界装束,PUR,3,Strike,Rapid,Support,Rapid(H),Strike(H),Rapid,Rapid,Rapid,Technical(V),Assault(H),Rapid,Strike(H)
11,異世界装束〈ヴィランライク〉,PUR,3,Assault,Assault,Strike,Assault(V),Strike(H),Assault,Technical,Support,Rapid(V),Support(V),Technical,Rapid(V)
12,異世界装束〈ヒート〉,PUR,3,Strike,Assault,Support,Assault(H),Technical(V),Strike,Strike,Rapid,Support(H),Assault(V),Support,Technical(H)
13,異世界装束〈コンバット〉,PUR,3,Rapid,Support,Support,Strike(H),Strike(V),Support,Technical,Assault,Technical(V),Strike(H),Rapid,Assault(H)
14,異世界装束〈ファンシー〉,PUR,3,Support,Technical,Strike,Technical(V),Technical(H),Strike,Strike,Support,Technical(V),Assault(H),Assault,Support(V)
15,異世界装束〈デンジャラス〉,PUR,3,Rapid,Assault,Strike,Strike(H),Technical(V),Assault,Rapid,Assault,Strike(H),Support(V),Strike,Rapid(V)
16,ヒーローコスチューム〈ファンシー〉,R,1,Rapid,Assault,Strike,Rapid,Support,Strike,Support,Support,Strike,Strike,Strike,Support(H)
17,オープンフェイス〈コンバット〉,R,1,Strike,Strike,Assault,Strike,Assault,Support,Strike,Assault,Support,Technical,Technical,Support(H)
18,キョンシー衣装,PUR,3,Rapid,Rapid,Assault,Strike(H),Technical(H),Assault,Support,Rapid,Rapid(V),Support(H),Strike,Assault(V)
19,キョンシー衣装〈ヴィランライク〉,PUR,3,Technical,Assault,Assault,Rapid(H),Technical(V),Assault,Strike,Rapid,Strike(V),Assault(V),Assault,Strike(H)
