No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Strike,Strike,Technical,Rapid,Support,Assault,Assault,Strike,Rapid,Strike,Assault,Technical(H)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Assault,Rapid,Technical,Rapid,Rapid,Rapid,Strike,Strike,Strike,Rapid,Rapid,Strike(V)
3,ヒーローコスチューム〈コンバット〉,R,1,Technical,Rapid,Rapid,Assault,Rapid,Support,Technical,Support,Technical,Assault,Support,Assault(V)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Rapid,Assault,Strike,Strike,Strike,Technical,Strike,Technical,Technical,Technical,Technical,Assault(V)
5,ヒーローコスチュームβver.,SR,2,Rapid,Support,Assault,Assault,Technical(H),Support,Rapid,Technical,Rapid,Strike(V),Rapid,Support(H)
6,ヒーローコスチュームβver.〈ヒート〉,R,1,Rapid,Assault,Rapid,Strike,Technical,Support,Strike,Technical,Rapid,Strike,Technical,Rapid(H)
7,ヒーローコスチュームβver.〈ファンシー〉,R,1,Assault,Strike,Technical,Technical,Support,Rapid,Technical,Technical,Rapid,Support,Strike,Technical(V)
8,ヒーローコスチュームβver.〈デンジャラス〉,R,1,Strike,Strike,Strike,Technical,Technical,Rapid,Assault,Technical,Support,Rapid,Rapid,Assault(V)
9,雄英ジャージ飯田カスタムver.,SR,2,Support,Strike,Strike,Technical,Rapid(V),Support,Assault,Strike,Strike,Rapid(H),Technical,Assault(H)
10,カジュアルスタイル,PUR,3,Technical,Technical,Rapid,Technical(H),Support(V),Support,Rapid,Strike,Assault(H),Rapid(H),Support,Strike(V)
11,カジュアルスタイル〈ヴィランライク〉,PUR,3,Assault,Support,Support,Rapid(H),Strike(H),Assault,Assault,Rapid,Rapid(V),Technical(H),Rapid,Strike(H)
12,カジュアルスタイル〈ヒート〉,PUR,3,Strike,Rapid,Support,Support(H),Assault(V),Strike,Assault,Support,Technical(H),Strike(H),Assault,Support(V)
13,カジュアルスタイル〈コンバット〉,PUR,3,Support,Rapid,Strike,Strike(V),Strike(H),Strike,Support,Technical,Strike(H),Strike(H),Strike,Technical(V)
14,カジュアルスタイル〈ファンシー〉,PUR,3,Strike,Strike,Support,Technical(V),Support(H),Support,Technical,Rapid,Strike(H),Technical(H),Support,Support(H)
