No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Rapid,Strike,Assault,Technical,Rapid,Support,Assault,Technical,Support,Strike,Support,Technical(V)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Assault,Assault,Support,Rapid,Strike,Support,Rapid,Assault,Support,Support,Strike,Rapid(V)
3,ヒーローコスチューム〈ヒート〉,R,1,Strike,Rapid,Rapid,Support,Assault,Assault,Assault,Strike,Assault,Technical,Technical,Support(H)
4,ヒーローコスチューム〈コンバット〉,R,1,Support,Rapid,Assault,Technical,Support,Support,Rapid,Technical,Technical,Technical,Rapid,Assault(V)
5,私服,PUR,3,Support,Assault,Technical,Strike(H),Rapid(V),Technical,Assault,Strike,Rapid(H),Support(H),Technical,Assault(H)
6,私服〈ヴィランライク〉,PUR,3,Technical,Support,Technical,Assault(V),Technical(H),Rapid,Technical,Support,Assault(H),Technical(H),Technical,Rapid(H)
7,私服〈ヒート〉,PUR,3,Assault,Strike,Technical,Assault(H),Rapid(H),Assault,Strike,Technical,Strike(V),Strike(H),Assault,Strike(V)
8,私服〈コンバット〉,PUR,3,Assault,Support,Rapid,Support(V),Rapid(H),Assault,Rapid,Support,Assault(H),Assault(V),Strike,Technical(H)
9,私服〈ファンシー〉,PUR,3,Rapid,Assault,Technical,Assault(H),Assault(H),Support,Strike,Strike,Support(H),Technical(H),Support,Rapid(V)
10,私服〈デンジャラス〉,PUR,3,Assault,Strike,Rapid,Rapid(H),Strike(V),Technical,Support,Technical,Support(V),Rapid(H),Rapid,Support(H)
11,ヒーローコスチューム〈ファンシー〉,R,1,Strike,Assault,Support,Technical,Strike,Strike,Assault,Support,Technical,Strike,Support,Strike(H)
12,ヒーローコスチューム〈デンジャラス〉,R,1,Assault,Support,Assault,Strike,Technical,Rapid,Rapid,Rapid,Technical,Strike,Assault,Technical(V)
13,雄英冬服,SR,2,Strike,Rapid,Strike,Rapid,Technical(H),Assault,Rapid,Strike,Support,Technical(V),Assault,Support(V)
14,お祭り衣装,PUR,3,Rapid,Strike,Technical,Rapid(H),Strike(V),Support,Assault,Technical,Strike(H),Rapid(H),Strike,Rapid(H)
15,お祭り衣装〈ヴィランライク〉,PUR,3,Support,Assault,Assault,Support(V),Strike(H),Technical,Support,Technical,Technical(H),Technical(H),Assault,Rapid(H)
16,お祭り衣装〈ヒート〉,PUR,3,Assault,Rapid,Strike,Assault(H),Technical(H),Assault,Strike,Support,Assault(V),Rapid(V),Rapid,Strike(H)
17,お祭り衣装〈コンバット〉,PUR,3,Support,Support,Strike,Assault(V),Rapid(V),Assault,Support,Rapid,Support(H),Support(H),Technical,Technical(V)
18,お祭り衣装〈ファンシー〉,PUR,3,Rapid,Rapid,Support,Technical(H),Rapid(V),Rapid,Support,Rapid,Assault(H),Support(V),Strike,Support(V)
19,お祭り衣装〈デンジャラス〉,PUR,3,Strike,Technical,Strike,Technical(H),Strike(H),Assault,Technical,Strike,Rapid(H),Strike(V),Support,Assault(H)
20,雄英冬服〈ヒート〉,R,1,Strike,Technical,Support,Technical,Strike,Support,Technical,Assault,Support,Assault,Assault,Support(V)
21,雄英冬服〈デンジャラス〉,R,1,Rapid,Assault,Strike,Strike,Technical,Assault,Support,Assault,Support,Support,Technical,Rapid(H)
