No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Support,Technical,Technical,Strike,Strike,Rapid,Strike,Rapid,Technical,Rapid,Technical,Rapid(V)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Technical,Technical,Strike,Strike,Technical,Technical,Assault,Support,Rapid,Strike,Rapid,Technical(V)
3,ヒーローコスチューム〈ヒート〉,R,1,Strike,Assault,Support,Rapid,Support,Strike,Rapid,Rapid,Support,Assault,Technical,Strike(V)
4,ヒーローコスチューム〈コンバット〉,R,1,Strike,Support,Assault,Rapid,Support,Support,Rapid,Assault,Technical,Support,Strike,Support(H)
5,ヒーローコスチューム〈ファンシー〉,R,1,Rapid,Support,Rapid,Assault,Technical,Strike,Assault,Support,Technical,Strike,Support,Assault(H)
6,ヒーローコスチューム〈デンジャラス〉,R,1,Rapid,Strike,Strike,Assault,Technical,Assault,Support,Assault,Strike,Technical,Assault,Rapid(H)
7,ヘルメットオフ,SR,2,Rapid,Strike,Technical,Rapid,Strike(H),Strike,Rapid,Strike,Technical,Strike(H),Strike,Assault(H)
8,ヘルメットオフ〈ファンシー〉,R,1,Strike,Technical,Support,Technical,Strike,Support,Support,Strike,Technical,Technical,Technical,Assault(V)
9,ヘルメットオフ〈デンジャラス〉,R,1,Rapid,Technical,Rapid,Strike,Support,Rapid,Assault,Strike,Technical,Technical,Rapid,Strike(V)
10,トラックスーツ,SR,2,Rapid,Rapid,Strike,Assault,Technical(V),Technical,Support,Assault,Assault,Technical(V),Rapid,Support(V)
11,カジュアルスタイル,PUR,3,Strike,Rapid,Rapid,Rapid(V),Strike(H),Rapid,Support,Rapid,Assault(H),Technical(V),Assault,Technical(H)
12,カジュアルスタイル〈ヴィランライク〉,PUR,3,Assault,Strike,Strike,Rapid(H),Strike(H),Support,Technical,Strike,Assault(H),Strike(V),Strike,Assault(V)
13,カジュアルスタイル〈ヒート〉,PUR,3,Strike,Assault,Support,Assault(H),Strike(H),Rapid,Assault,Rapid,Strike(H),Technical(H),Rapid,Rapid(V)
14,カジュアルスタイル〈コンバット〉,PUR,3,Rapid,Support,Support,Strike(V),Support(V),Technical,Support,Rapid,Strike(V),Assault(V),Support,Rapid(V)
15,カジュアルスタイル〈ファンシー〉,PUR,3,Support,Technical,Strike,Strike(H),Technical(V),Assault,Strike,Technical,Strike(H),Technical(V),Support,Technical(H)
16,カジュアルスタイル〈デンジャラス〉,PUR,3,Rapid,Assault,Assault,Assault(V),Technical(H),Assault,Strike,Assault,Technical(V),Technical(V),Assault,Technical(H)
17,カンフー装束,PUR,3,Rapid,Assault,Technical,Strike(H),Rapid(H),Rapid,Technical,Assault,Assault(V),Technical(H),Support,Technical(H)
18,カンフー装束〈ヴィランライク〉,PUR,3,Technical,Rapid,Technical,Assault(V),Technical(V),Support,Strike,Rapid,Assault(H),Technical(V),Technical,Assault(H)
19,カンフー装束〈ヒート〉,PUR,3,Assault,Strike,Rapid,Assault(H),Rapid(H),Strike,Assault,Rapid,Strike(V),Technical(H),Assault,Rapid(V)
