No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Technical,Assault,Strike,Rapid,Strike,Assault,Strike,Technical,Strike,Rapid,Support,Strike(H)
2,ヒーローコスチューム〈ヒート〉,R,1,Assault,Rapid,Technical,Rapid,Strike,Support,Assault,Assault,Support,Strike,Strike,Assault(H)
3,ヒーローコスチューム〈コンバット〉,R,1,Assault,Rapid,Support,Technical,Assault,Strike,Support,Rapid,Assault,Strike,Rapid,Support(V)
4,ヒーローコスチューム〈デンジャラス〉,R,1,Technical,Strike,Technical,Strike,Rapid,Assault,Strike,Strike,Technical,Technical,Support,Technical(V)
5,ヒーローコスチュームβver.,SR,2,Strike,Strike,Rapid,Technical,Assault(H),Rapid,Rapid,Technical,Rapid,Strike(H),Support,Strike(V)
6,ヒーローコスチュームβver.〈ヴィランライク〉,R,1,Rapid,Strike,Assault,Assault,Strike,Rapid,Strike,Rapid,Rapid,Assault,Assault,Rapid(H)
7,ヒーローコスチュームβver.〈ファンシー〉,R,1,Strike,Technical,Technical,Strike,Assault,Rapid,Technical,Support,Rapid,Strike,Technical,Strike(V)
8,ヒーローコスチュームβver.〈デンジャラス〉,R,1,Assault,Support,Assault,Strike,Strike,Rapid,Assault,Strike,Technical,Rapid,Support,Rapid(V)
9,ヒーローコスチューム〈ヴィランライク〉,R,1,Rapid,Technical,Support,Strike,Rapid,Assault,Assault,Assault,Rapid,Strike,Technical,Rapid(H)
10,雄英ジャージ,SR,2,Rapid,Strike,Technical,Strike,Strike(V),Assault,Strike,Rapid,Support,Rapid(H),Strike,Technical(H)
11,異世界装束,PUR,3,Strike,Strike,Support,Technical(H),Technical(V),Support,Assault,Assault,Strike(H),Rapid(V),Assault,Support(H)
12,異世界装束〈ヴィランライク〉,PUR,3,Technical,Assault,Support,Technical(H),Strike(V),Technical,Support,Technical,Strike(H),Technical(V),Strike,Rapid(H)
13,異世界装束〈ヒート〉,PUR,3,Rapid,Rapid,Technical,Rapid(H),Rapid(V),Support,Strike,Support,Assault(H),Assault(H),Rapid,Assault(V)
14,異世界装束〈コンバット〉,PUR,3,Technical,Support,Strike,Support(H),Strike(V),Assault,Support,Rapid,Assault(H),Support(H),Technical,Support(V)
15,異世界装束〈ファンシー〉,PUR,3,Strike,Technical,Technical,Strike(H),Support(V),Rapid,Support,Assault,Assault(H),Strike(H),Assault,Technical(H)
16,異世界装束〈デンジャラス〉,PUR,3,Strike,Support,Technical,Strike(H),Support(V),Support,Technical,Rapid,Assault(V),Strike(H),Support,Strike(H)
17,私服,PUR,3,Strike,Rapid,Strike,Technical(V),Strike(H),Assault,Strike,Technical,Rapid(H),Support(V),Rapid,Technical(H)
18,私服〈ヴィランライク〉,PUR,3,Assault,Assault,Technical,Rapid(V),Strike(V),Assault,Assault,Technical,Rapid(H),Assault(H),Support,Strike(H)
19,私服〈ヒート〉,PUR,3,Strike,Technical,Support,Assault(H),Strike(H),Strike,Strike,Assault,Support(V),Strike(V),Assault,Support(V)
