No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヴィランコスチューム,C,0,Rapid,Assault,Strike,Strike,Support,Technical,Rapid,Assault,Support,Strike,Support,Rapid(H)
2,ヴィランコスチューム〈ヒーローライク〉,R,1,Assault,Support,Assault,Rapid,Assault,Strike,Rapid,Technical,Technical,Rapid,Rapid,Assault(H)
3,ヴィランコスチューム〈コンバット〉,R,1,Rapid,Strike,Support,Technical,Strike,Technical,Support,Assault,Rapid,Support,Assault,Strike(V)
4,ヴィランコスチューム〈デンジャラス〉,R,1,Technical,Support,Rapid,Strike,Assault,Rapid,Strike,Assault,Rapid,Support,Technical,Rapid(V)
5,暗雲の武将,PUR,3,Assault,Rapid,Strike,Support(H),Rapid(V),Strike,Rapid,Technical,Strike(H),Strike(V),Rapid,Technical(H)
6,暗雲の武将〈ヒーローライク〉,PUR,3,Support,Rapid,Assault,Technical(H),Support(H),Rapid,Support,Technical,Support(V),Assault(H),Strike,Support(V)
7,暗雲の武将〈ヒート〉,PUR,3,Technical,Assault,Support,Rapid(V),Assault(H),Support,Technical,Strike,Strike(V),Strike(H),Rapid,Assault(H)
8,暗雲の武将〈コンバット〉,PUR,3,Strike,Support,Strike,Rapid(H),Support(H),Technical,Rapid,Technical,Rapid(V),Assault(H),Technical,Technical(V)
9,暗雲の武将〈ファンシー〉,PUR,3,Rapid,Technical,Assault,Rapid(H),Technical(H),Support,Strike,Assault,Support(V),Rapid(H),Assault,Rapid(H)
10,暗雲の武将〈デンジャラス〉,PUR,3,Rapid,Strike,Assault,Strike(V),Rapid(V),Assault,Support,Assault,Rapid(H),Technical(V),Support,Strike(V)
11,ヴィランコスチューム〈ヒート〉,R,1,Strike,Rapid,Assault,Support,Support,Technical,Rapid,Assault,Strike,Strike,Strike,Technical(V)
12,サイバーパンク,PUR,3,Strike,Technical,Rapid,Support(H),Rapid(H),Assault,Technical,Assault,Technical(V),Support(V),Assault,Strike(H)
13,サイバーパンク〈ヒーローライク〉,PUR,3,Assault,Rapid,Strike,Technical(V),Support(V),Rapid,Technical,Rapid,Support(H),Support(H),Strike,Rapid(V)
14,サイバーパンク〈ヒート〉,PUR,3,Rapid,Technical,Assault,Strike(V),Rapid(V),Rapid,Support,Technical,Support(H),Strike(H),Support,Assault(V)
15,サイバーパンク〈コンバット〉,PUR,3,Rapid,Assault,Technical,Support(H),Strike(H),Strike,Strike,Rapid,Support(V),Assault(H),Rapid,Strike(H)
16,サイバーパンク〈ファンシー〉,PUR,3,Support,Strike,Assault,Rapid(H),Assault(V),Support,Assault,Technical,Rapid(H),Technical(H),Technical,Support(V)
17,サイバーパンク〈デンジャラス〉,PUR,3,Support,Technical,Rapid,Strike(V),Support(H),Technical,Assault,Strike,Strike(V),Technical(H),Assault,Technical(H)
